Organism,Accession,Species,Strain
Geobacillus_kaustophilus_HTA426,GCF_000009785.1,,
Geobacillus_C56-T3,GCF_000092445.1,,
Geobacillus_Y412MC52,GCF_000174795.2,,
Geobacillus_thermoleovorans_CCB_US3_UF5,GCF_000236605.1,,
Geobacillus_GHH01,GCF_000336445.1,,
Geobacillus_genomo3_JF8,GCF_000445995.2,,
Geobacillus_stearothermophilus_10,GCF_001274575.1,,
Geobacillus_JS12,GCF_001592395.1,,
Geobacillus_subterraneus_KCTC3922(T),GCF_001618685.1,,
Geobacillus_thermoleovorans_FJAT-2391,GCF_001719205.1,,
Geobacillus_thermocatenulatus_KCTC_3921,GCF_002243665.1,,
Geobacillus_stearothermophilus_DSM_458,GCF_002300135.1,,
[Bacillus]_caldolyticus_NEB414,GCF_003595605.1,,
Geobacillus_kaustophilus_NBRC_102445,GCF_005160065.1,,
Geobacillus_thermoleovorans_ARTRW1,GCF_007855915.1,,
Geobacillus_stearothermophilus_B5,GCF_009914195.1,,
Geobacillus_subterraneus_E55-1,GCF_011405175.1,,
Geobacillus_subterraneus_CPW16,GCF_012295505.1,,
Geobacillus_zalihae_SURF-189,GCF_014678925.1,,
Geobacillus_zalihae_SURF-114,GCF_014679335.1,,
Geobacillus_46C-IIa,GCF_014679505.1,,
Geobacillus_47C-IIb,GCF_014679705.1,,
Geobacillus_stearothermophilus_DG-1,GCF_014961685.1,,
Geobacillus_thermodenitrificans_NG80-2,GCF_000015745.1,,
Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,GCF_000496575.1,,
Geobacillus_thermodenitrificans_KCTC3902,GCF_002072065.1,,
Geobacillus_thermodenitrificans_T12,GCF_002119625.1,,
Geobacillus_thermodenitrificans_ID-1,GCF_002706565.1,,
Geobacillus_thermodenitrificans_JSC_T9a,GCF_002810005.1,,
Geobacillus_thermodenitrificans_OS27,GCF_003061505.1,,
Geobacillus_thermodenitrificans_K1041,GCF_021696955.1,,
