nb_org,persistent,shell,cloud,undefined,exact_core,exact_accessory,soft_core,soft_accessory,pangenome,K
2,3540,0,0,0,2947,593,2947,593,3540,3
2,3554,0,0,0,3048,506,3048,506,3554,3
2,3634,0,0,0,3054,580,3054,580,3634,3
2,14,3420,0,0,0,3434,0,3434,3434,3
2,3698,0,0,0,3048,650,3048,650,3698,3
2,3622,0,0,0,3074,548,3074,548,3622,3
2,14,3326,0,0,0,3340,0,3340,3340,3
2,3648,0,0,0,3045,603,3045,603,3648,3
2,14,3370,0,0,0,3384,0,3384,3384,3
2,3587,0,0,0,2974,613,2974,613,3587,3
2,3673,0,0,0,3117,556,3117,556,3673,3
2,3648,0,0,0,3045,603,3045,603,3648,3
2,3594,0,0,0,3028,566,3028,566,3594,3
2,3660,0,0,0,3012,648,3012,648,3660,3
2,3540,0,0,0,2947,593,2947,593,3540,3
2,3605,0,0,0,3014,591,3014,591,3605,3
2,3673,0,0,0,3117,556,3117,556,3673,3
2,3634,0,0,0,3054,580,3054,580,3634,3
2,3594,0,0,0,3028,566,3028,566,3594,3
2,3648,0,0,0,3045,603,3045,603,3648,3
2,3600,0,0,0,3005,595,3005,595,3600,3
2,3519,0,0,0,3059,460,3059,460,3519,3
2,3691,0,0,0,3046,645,3046,645,3691,3
2,3698,0,0,0,3048,650,3048,650,3698,3
2,3519,0,0,0,3059,460,3059,460,3519,3
2,3642,0,0,0,3008,634,3008,634,3642,3
2,3673,0,0,0,3117,556,3117,556,3673,3
2,3600,0,0,0,3005,595,3005,595,3600,3
2,3622,0,0,0,3074,548,3074,548,3622,3
2,3639,0,0,0,3090,549,3090,549,3639,3
3,3167,0,653,0,2937,883,2937,883,3820,3
3,3181,249,338,0,2981,787,2981,787,3768,3
3,3023,227,351,0,0,3601,0,3601,3601,3
3,3160,281,342,0,2960,823,2960,823,3783,3
3,3198,0,665,0,2964,899,2964,899,3863,3
3,3138,252,386,0,2910,866,2910,866,3776,3
3,3151,0,712,0,2949,914,2949,914,3863,3
3,3030,240,368,0,0,3638,0,3638,3638,3
3,3124,0,609,0,2911,822,2911,822,3733,3
3,3223,266,279,0,2943,825,2943,825,3768,3
3,3206,261,334,0,2914,887,2914,887,3801,3
3,3223,266,279,0,2943,825,2943,825,3768,3
3,3241,0,625,0,2993,873,2993,873,3866,3
3,3083,167,318,0,0,3568,0,3568,3568,3
3,3266,217,298,0,2991,790,2991,790,3781,3
3,2947,302,305,0,0,3554,0,3554,3554,3
3,3149,0,671,0,2942,878,2942,878,3820,3
3,3067,199,342,0,0,3608,0,3608,3608,3
3,3296,491,0,0,2958,829,2958,829,3787,3
3,3161,0,631,0,2999,793,2999,793,3792,3
3,3241,0,604,0,2967,878,2967,878,3845,3
3,3256,0,287,0,2940,603,2940,603,3543,3
3,3138,252,386,0,2910,866,2910,866,3776,3
3,2941,308,289,0,0,3538,0,3538,3538,3
3,3139,253,401,0,2914,879,2914,879,3793,3
3,3124,0,609,0,2911,822,2911,822,3733,3
3,3691,0,14,0,0,3705,0,3705,3705,3
3,3128,0,619,0,2914,833,2914,833,3747,3
3,3226,196,241,0,0,3663,0,3663,3663,3
