gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
NCBEONCI_00001	NZ_PIJH01000001.1	652	942	+	FDKLAMFJ_03455	1	persistent	0	0	0	None	None
NCBEONCI_00002	NZ_PIJH01000001.1	1007	1450	+	FDKLAMFJ_03454	1	persistent	0	0	0	None	None
NCBEONCI_00003	NZ_PIJH01000001.1	1466	2488	-	FDKLAMFJ_03453	1	persistent	0	0	0	None	None
NCBEONCI_00004	NZ_PIJH01000001.1	2545	4077	-	FDKLAMFJ_03452	1	persistent	0	0	0	None	None
NCBEONCI_00005	NZ_PIJH01000001.1	4074	5060	-	HLMLLCKC_00009	1	persistent	0	0	0	None	7,56,33
NCBEONCI_00006	NZ_PIJH01000001.1	5057	6241	-	FLBMOKII_02277	1	persistent	0	0	0	None	None
NCBEONCI_00007	NZ_PIJH01000001.1	6400	7182	+	FLBMOKII_02278	1	persistent	0	0	0	None	None
NCBEONCI_00008	NZ_PIJH01000001.1	7240	9429	-	FLBMOKII_02279	1	persistent	0	0	0	None	None
NCBEONCI_00009	NZ_PIJH01000001.1	9456	10271	-	NCBEONCI_00009	1	cloud	0	0	0	NZ_PIJH01000001.1_RGP_4	34
NCBEONCI_00010	NZ_PIJH01000001.1	10268	11188	-	NCBEONCI_00010	1	cloud	0	0	0	NZ_PIJH01000001.1_RGP_4	34
NCBEONCI_00011	NZ_PIJH01000001.1	11285	12556	-	NCBEONCI_00011	1	cloud	0	0	0	NZ_PIJH01000001.1_RGP_4	34
NCBEONCI_00012	NZ_PIJH01000001.1	12776	13810	-	NCBEONCI_00012	1	cloud	0	0	0	NZ_PIJH01000001.1_RGP_4	34
NCBEONCI_00013	NZ_PIJH01000001.1	14304	15956	-	HLMLLCKC_00498	1	persistent	0	0	0	None	None
NCBEONCI_00014	NZ_PIJH01000001.1	16132	16698	-	HLMLLCKC_00499	1	persistent	0	0	0	None	None
NCBEONCI_00015	NZ_PIJH01000001.1	16714	16869	-	HLMLLCKC_00500	1	persistent	0	0	0	None	None
NCBEONCI_00016	NZ_PIJH01000001.1	16886	18283	-	HLMLLCKC_00501	1	persistent	0	0	0	None	None
NCBEONCI_00017	NZ_PIJH01000001.1	18280	18954	-	HLMLLCKC_00502	1	persistent	0	0	0	None	None
NCBEONCI_00018	NZ_PIJH01000001.1	19181	19303	-	HLMLLCKC_00503	1	persistent	0	0	0	None	None
NCBEONCI_00019	NZ_PIJH01000001.1	19534	19998	+	KGENGAEB_01279	1	persistent	0	0	0	None	None
NCBEONCI_00020	NZ_PIJH01000001.1	20429	20614	+	KGENGAEB_01280	1	persistent	0	0	0	None	None
NCBEONCI_00021	NZ_PIJH01000001.1	20614	20868	+	KGENGAEB_01281	1	persistent	0	0	0	None	None
NCBEONCI_00022	NZ_PIJH01000001.1	20913	21257	-	AHOIKHHK_02490	1	persistent	0	0	0	None	None
NCBEONCI_00023	NZ_PIJH01000001.1	21441	21641	+	AHOIKHHK_02491	1	persistent	0	0	0	None	None
NCBEONCI_00024	NZ_PIJH01000001.1	21724	21894	+	AHOIKHHK_02492	1	persistent	0	0	0	None	None
NCBEONCI_00025	NZ_PIJH01000001.1	21967	22329	-	AHOIKHHK_02493	1	persistent	0	0	0	None	None
NCBEONCI_00026	NZ_PIJH01000001.1	22444	22686	-	NCBEONCI_00026	1	persistent	0	0	0	None	None
NCBEONCI_00027	NZ_PIJH01000001.1	22898	23503	+	NCBEONCI_00027	1	persistent	0	0	0	None	None
NCBEONCI_00028	NZ_PIJH01000001.1	23537	26275	+	MEBKDNAM_02221	1	persistent	0	0	0	None	None
NCBEONCI_00029	NZ_PIJH01000001.1	26404	26907	-	MEBKDNAM_02222	1	persistent	0	0	0	None	None
NCBEONCI_00030	NZ_PIJH01000001.1	26891	27562	-	IJIGFOAD_03222	1	persistent	0	0	0	None	None
NCBEONCI_00031	NZ_PIJH01000001.1	27641	28348	-	IJIGFOAD_03221	1	persistent	0	0	0	None	None
NCBEONCI_00032	NZ_PIJH01000001.1	28417	29709	-	IJIGFOAD_03220	1	persistent	0	0	0	None	None
NCBEONCI_00033	NZ_PIJH01000001.1	29943	31124	-	MEBKDNAM_02226	1	persistent	0	0	0	None	None
NCBEONCI_00034	NZ_PIJH01000001.1	31146	31625	-	MEBKDNAM_02227	1	persistent	0	0	0	None	None
NCBEONCI_00035	NZ_PIJH01000001.1	31631	31801	-	MEBKDNAM_02228	1	persistent	0	0	0	None	None
NCBEONCI_00036	NZ_PIJH01000001.1	32195	34930	-	NCBEONCI_00036	1	persistent	0	0	0	None	None
NCBEONCI_00037	NZ_PIJH01000001.1	34981	35364	-	AHOIKHHK_00810	1	persistent	0	0	0	None	None
NCBEONCI_00038	NZ_PIJH01000001.1	35377	36246	-	AHOIKHHK_00811	1	persistent	0	0	0	None	None
NCBEONCI_00039	NZ_PIJH01000001.1	36243	37082	-	AHOIKHHK_00812	1	persistent	0	0	0	None	None
NCBEONCI_00040	NZ_PIJH01000001.1	37343	38332	-	AHOIKHHK_00813	1	persistent	0	0	0	None	None
NCBEONCI_00041	NZ_PIJH01000001.1	38290	39504	-	AHOIKHHK_00814	1	persistent	0	0	0	None	None
NCBEONCI_00042	NZ_PIJH01000001.1	39501	40637	-	FLBMOKII_02309	1	persistent	0	0	0	None	None
NCBEONCI_00043	NZ_PIJH01000001.1	40634	41353	-	FLBMOKII_02310	1	persistent	0	0	0	None	None
NCBEONCI_00044	NZ_PIJH01000001.1	41350	41784	-	FLBMOKII_02311	1	persistent	0	0	0	None	None
NCBEONCI_00045	NZ_PIJH01000001.1	41816	42613	-	HLMLLCKC_00530	1	persistent	0	0	0	None	None
NCBEONCI_00046	NZ_PIJH01000001.1	42610	42930	-	FLBMOKII_02313	1	persistent	0	0	0	None	None
NCBEONCI_00047	NZ_PIJH01000001.1	43105	43974	+	HLMLLCKC_00532	1	persistent	0	0	0	None	None
NCBEONCI_00048	NZ_PIJH01000001.1	44084	44872	-	HLMLLCKC_00533	1	persistent	0	0	0	None	None
NCBEONCI_00049	NZ_PIJH01000001.1	44989	45588	-	HLMLLCKC_00534	1	persistent	0	0	0	None	None
NCBEONCI_00050	NZ_PIJH01000001.1	45666	46430	-	HLMLLCKC_00535	1	persistent	0	0	0	None	None
NCBEONCI_00051	NZ_PIJH01000001.1	46481	47155	-	KGENGAEB_01311	1	persistent	0	0	0	None	None
NCBEONCI_00052	NZ_PIJH01000001.1	47159	47668	-	KGENGAEB_01312	1	persistent	0	0	0	None	None
NCBEONCI_00053	NZ_PIJH01000001.1	47812	48267	-	KGENGAEB_01313	1	persistent	0	0	0	None	None
NCBEONCI_00054	NZ_PIJH01000001.1	48353	48886	-	KGENGAEB_01314	1	persistent	0	0	0	None	None
NCBEONCI_00055	NZ_PIJH01000001.1	48943	50199	-	KGENGAEB_01315	1	persistent	0	0	0	None	None
NCBEONCI_00056	NZ_PIJH01000001.1	50483	51766	-	KGENGAEB_01316	1	persistent	0	0	0	None	None
NCBEONCI_00057	NZ_PIJH01000001.1	51793	52896	-	KGENGAEB_01317	1	persistent	0	0	0	None	None
NCBEONCI_00058	NZ_PIJH01000001.1	52985	54082	-	NCBEONCI_00058	1	persistent	0	0	0	None	None
NCBEONCI_00059	NZ_PIJH01000001.1	54115	54921	-	NCBEONCI_00059	1	persistent	0	0	0	None	None
NCBEONCI_00060	NZ_PIJH01000001.1	54905	56122	-	MEBKDNAM_02253	1	persistent	0	0	0	None	None
NCBEONCI_00061	NZ_PIJH01000001.1	56205	56891	-	IJIGFOAD_03191	1	persistent	0	0	0	None	None
NCBEONCI_00062	NZ_PIJH01000001.1	56878	57654	-	IJIGFOAD_03190	1	persistent	0	0	0	None	None
NCBEONCI_00063	NZ_PIJH01000001.1	57647	58666	-	IJIGFOAD_03189	1	persistent	0	0	0	None	None
