gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
MEBKDNAM_00001	NC_009328.1	209	1561	+	FLBMOKII_00001	1	persistent	0	0	0	None	None
MEBKDNAM_00002	NC_009328.1	1733	2869	+	AHOIKHHK_01805	1	persistent	0	0	0	None	None
MEBKDNAM_00003	NC_009328.1	3059	3280	+	AHOIKHHK_01804	1	persistent	0	0	0	None	None
MEBKDNAM_00004	NC_009328.1	3292	4410	+	AHOIKHHK_01803	1	persistent	0	0	0	None	None
MEBKDNAM_00005	NC_009328.1	4456	6378	+	AHOIKHHK_01802	2	persistent	0	0	0	None	None
MEBKDNAM_00006	NC_009328.1	6531	8999	+	MEBKDNAM_00006	1	persistent	0	0	0	None	None
MEBKDNAM_00007	NC_009328.1	9128	10189	+	AHOIKHHK_01800	1	persistent	0	0	0	None	None
MEBKDNAM_00010	NC_009328.1	14937	15230	+	FLBMOKII_00170	9	persistent	0	0	0	None	29,54,30,63,15
MEBKDNAM_00011	NC_009328.1	15924	16910	-	KGENGAEB_03268	1	persistent	0	0	0	None	None
MEBKDNAM_00012	NC_009328.1	17037	18503	+	MEBKDNAM_00012	1	persistent	0	0	0	None	None
MEBKDNAM_00013	NC_009328.1	18607	19965	+	AHOIKHHK_02944	1	persistent	0	0	0	None	None
MEBKDNAM_00014	NC_009328.1	20095	20979	+	HLMLLCKC_02451	1	persistent	0	0	0	None	None
MEBKDNAM_00015	NC_009328.1	21004	21591	+	HLMLLCKC_02450	1	persistent	0	0	0	None	None
MEBKDNAM_00016	NC_009328.1	21871	23145	+	HLMLLCKC_02449	1	persistent	0	0	0	None	None
MEBKDNAM_00017	NC_009328.1	23402	24688	-	HLMLLCKC_02448	1	persistent	0	0	0	None	None
MEBKDNAM_00018	NC_009328.1	24747	25256	+	HLMLLCKC_02447	1	persistent	0	0	0	None	None
MEBKDNAM_00019	NC_009328.1	25688	27367	+	HLMLLCKC_02446	1	persistent	0	0	0	None	None
MEBKDNAM_00020	NC_009328.1	27390	27716	+	HLMLLCKC_02445	1	persistent	0	0	0	None	None
MEBKDNAM_00021	NC_009328.1	27726	28322	+	IJIGFOAD_01804	1	persistent	0	0	0	None	None
MEBKDNAM_00022	NC_009328.1	28346	28570	+	IJIGFOAD_01803	1	persistent	0	0	0	None	None
MEBKDNAM_00023	NC_009328.1	28649	28912	+	IJIGFOAD_01802	1	persistent	0	0	0	None	None
MEBKDNAM_00026	NC_009328.1	33647	33940	+	FLBMOKII_00170	9	persistent	0	0	0	None	29,54,30,63,15
MEBKDNAM_00027	NC_009328.1	34853	35059	+	HLMLLCKC_01957	1	persistent	0	0	0	None	None
MEBKDNAM_00028	NC_009328.1	35262	36698	+	HLMLLCKC_01956	1	persistent	0	0	0	None	None
MEBKDNAM_00029	NC_009328.1	36722	37399	+	HLMLLCKC_01955	1	persistent	0	0	0	None	None
MEBKDNAM_00030	NC_009328.1	37437	38423	+	FLBMOKII_00032	1	persistent	0	0	0	None	None
MEBKDNAM_00031	NC_009328.1	38438	39265	+	FLBMOKII_00033	1	persistent	0	0	0	None	None
MEBKDNAM_00032	NC_009328.1	39282	39644	+	FLBMOKII_00034	1	persistent	0	0	0	None	None
MEBKDNAM_00033	NC_009328.1	39705	40454	+	NCBEONCI_01650	1	persistent	0	0	0	None	None
MEBKDNAM_00034	NC_009328.1	40471	41376	+	IJIGFOAD_01791	1	persistent	0	0	0	None	None
MEBKDNAM_00035	NC_009328.1	41398	41691	-	IJIGFOAD_01790	1	persistent	0	0	0	None	None
MEBKDNAM_00036	NC_009328.1	41870	41971	+	AHOIKHHK_02463	1	cloud	0	0	0	None	None
MEBKDNAM_00037	NC_009328.1	42085	44037	+	AHOIKHHK_02462	1	persistent	0	0	0	None	None
MEBKDNAM_00038	NC_009328.1	44179	44949	+	AHOIKHHK_02461	1	persistent	0	0	0	None	None
MEBKDNAM_00039	NC_009328.1	45151	46383	+	AHOIKHHK_02460	1	persistent	0	0	0	None	None
MEBKDNAM_00040	NC_009328.1	46671	47210	+	AHOIKHHK_02459	1	persistent	0	0	0	None	None
MEBKDNAM_00041	NC_009328.1	47203	48084	+	AHOIKHHK_02458	1	persistent	0	0	0	None	None
MEBKDNAM_00042	NC_009328.1	48178	49077	+	MEBKDNAM_00042	1	persistent	0	0	0	None	None
MEBKDNAM_00043	NC_009328.1	49260	49517	+	MEBKDNAM_00043	1	persistent	0	0	0	None	None
MEBKDNAM_00044	NC_009328.1	50173	50322	+	FDKLAMFJ_02024	1	persistent	0	0	0	None	None
MEBKDNAM_00045	NC_009328.1	50288	51160	+	FDKLAMFJ_02023	1	persistent	0	0	0	None	None
MEBKDNAM_00046	NC_009328.1	51215	52039	+	FDKLAMFJ_02022	1	persistent	0	0	0	None	None
MEBKDNAM_00047	NC_009328.1	52092	52466	+	MEBKDNAM_00047	1	persistent	0	0	0	None	None
MEBKDNAM_00048	NC_009328.1	52591	52881	+	MEBKDNAM_00048	1	persistent	0	0	0	None	None
MEBKDNAM_00049	NC_009328.1	53014	54393	+	MEBKDNAM_00049	1	persistent	0	0	0	None	None
MEBKDNAM_00050	NC_009328.1	54406	55353	+	KGENGAEB_03140	1	persistent	0	0	0	None	None
MEBKDNAM_00051	NC_009328.1	55429	56061	+	KGENGAEB_03141	1	persistent	0	0	0	None	None
MEBKDNAM_00052	NC_009328.1	56122	56682	+	KGENGAEB_03142	1	persistent	0	0	0	None	None
MEBKDNAM_00053	NC_009328.1	56785	57015	+	KGENGAEB_03143	1	persistent	0	0	0	None	None
MEBKDNAM_00054	NC_009328.1	57105	60638	+	KGENGAEB_03144	1	persistent	0	0	0	None	None
MEBKDNAM_00055	NC_009328.1	60861	61397	+	KGENGAEB_03145	1	persistent	0	0	0	None	None
MEBKDNAM_00056	NC_009328.1	61626	63182	+	KGENGAEB_03146	1	persistent	0	0	0	None	None
MEBKDNAM_00057	NC_009328.1	63189	64649	+	KGENGAEB_03147	1	persistent	0	0	0	None	None
MEBKDNAM_00058	NC_009328.1	64661	64942	+	KGENGAEB_03148	1	persistent	0	0	0	None	None
MEBKDNAM_00059	NC_009328.1	65065	65370	+	KGENGAEB_03149	1	persistent	0	0	0	None	None
MEBKDNAM_00060	NC_009328.1	65367	65999	+	IJIGFOAD_01766	1	persistent	0	0	0	None	None
MEBKDNAM_00061	NC_009328.1	66015	66386	+	FLBMOKII_00064	1	persistent	0	0	0	None	None
MEBKDNAM_00062	NC_009328.1	66507	66905	+	FLBMOKII_00065	1	persistent	0	0	0	None	None
MEBKDNAM_00065	NC_009328.1	67440	69917	+	FLBMOKII_00068	1	persistent	0	0	0	None	None
MEBKDNAM_00066	NC_009328.1	69984	70724	+	KGENGAEB_03304	1	persistent	0	0	0	None	None
MEBKDNAM_00067	NC_009328.1	70687	71664	+	KGENGAEB_03305	1	persistent	0	0	0	None	None
MEBKDNAM_00068	NC_009328.1	71720	73114	+	NCBEONCI_01684	1	persistent	0	0	0	None	None
MEBKDNAM_00069	NC_009328.1	73126	73671	+	IJIGFOAD_01757	1	persistent	0	0	0	None	None
MEBKDNAM_00070	NC_009328.1	73766	75661	+	IJIGFOAD_01756	1	persistent	0	0	0	None	None
MEBKDNAM_00071	NC_009328.1	75893	76669	+	NCBEONCI_01687	1	persistent	0	0	0	None	None
MEBKDNAM_00072	NC_009328.1	76666	77568	+	NCBEONCI_01688	1	persistent	0	0	0	None	None
MEBKDNAM_00073	NC_009328.1	77655	78581	+	AHOIKHHK_02272	2	persistent	0	0	0	None	None
MEBKDNAM_00074	NC_009328.1	78696	80117	+	FDKLAMFJ_01994	1	persistent	0	0	0	None	None
MEBKDNAM_00075	NC_009328.1	80123	80698	+	FDKLAMFJ_01993	1	persistent	0	0	0	None	None
MEBKDNAM_00076	NC_009328.1	80698	81582	+	MEBKDNAM_00076	1	persistent	0	0	0	None	None
MEBKDNAM_00077	NC_009328.1	81582	82433	+	MEBKDNAM_00077	1	persistent	0	0	0	None	None
MEBKDNAM_00078	NC_009328.1	82405	82785	+	FDKLAMFJ_01990	1	persistent	0	0	0	None	None
MEBKDNAM_00079	NC_009328.1	82786	83313	+	FDKLAMFJ_01989	1	persistent	0	0	0	None	None
MEBKDNAM_00080	NC_009328.1	83265	83486	+	FDKLAMFJ_01988	1	persistent	0	0	0	None	None
MEBKDNAM_00081	NC_009328.1	83502	84503	+	HLMLLCKC_01995	1	persistent	0	0	0	None	None
MEBKDNAM_00082	NC_009328.1	84588	86072	+	MEBKDNAM_00082	1	persistent	0	0	0	None	None
MEBKDNAM_00091	NC_009328.1	91458	91751	+	FLBMOKII_00170	9	persistent	0	0	0	None	29,54,30,63,15
MEBKDNAM_00092	NC_009328.1	92693	93244	+	MEBKDNAM_00092	1	persistent	0	0	0	None	None
MEBKDNAM_00093	NC_009328.1	93259	93807	+	MEBKDNAM_00093	1	persistent	0	0	0	None	None
MEBKDNAM_00094	NC_009328.1	93812	94903	+	MEBKDNAM_00094	1	persistent	0	0	0	None	None
MEBKDNAM_00095	NC_009328.1	94900	97335	+	AHOIKHHK_02671	2	persistent	0	0	0	None	None
MEBKDNAM_00096	NC_009328.1	97347	98783	+	MEBKDNAM_00096	1	persistent	0	0	0	None	None
MEBKDNAM_00097	NC_009328.1	98989	100083	+	IJIGFOAD_01729	1	persistent	0	0	0	None	None
MEBKDNAM_00098	NC_009328.1	100105	100791	+	IJIGFOAD_01728	1	persistent	0	0	0	None	None
MEBKDNAM_00099	NC_009328.1	100806	101288	+	IJIGFOAD_01727	1	persistent	0	0	0	None	None
MEBKDNAM_00100	NC_009328.1	101498	102967	+	IJIGFOAD_01726	1	persistent	0	0	0	None	None
MEBKDNAM_00101	NC_009328.1	103341	104015	+	IJIGFOAD_01725	1	persistent	0	0	0	None	None
MEBKDNAM_00102	NC_009328.1	103993	105396	+	FLBMOKII_00106	1	persistent	0	0	0	None	None
MEBKDNAM_00103	NC_009328.1	105400	105822	+	FLBMOKII_00107	1	persistent	0	0	0	None	None
MEBKDNAM_00104	NC_009328.1	105822	106559	+	FLBMOKII_00108	1	persistent	0	0	0	None	None
MEBKDNAM_00105	NC_009328.1	106563	107075	+	FLBMOKII_00109	1	persistent	0	0	0	None	None
MEBKDNAM_00106	NC_009328.1	107145	107795	+	IJIGFOAD_01720	1	persistent	0	0	0	None	None
MEBKDNAM_00107	NC_009328.1	108092	108274	+	IJIGFOAD_01719	1	persistent	0	0	0	None	None
MEBKDNAM_00108	NC_009328.1	108382	108915	+	IJIGFOAD_01718	1	persistent	0	0	0	None	None
MEBKDNAM_00109	NC_009328.1	108999	109088	+	AHOIKHHK_00746	1	persistent	0	0	0	None	None
MEBKDNAM_00110	NC_009328.1	109156	109581	+	IJIGFOAD_01716	1	persistent	0	0	0	None	None
MEBKDNAM_00111	NC_009328.1	109784	110485	+	AHOIKHHK_00748	1	persistent	0	0	0	None	None
MEBKDNAM_00112	NC_009328.1	110736	111236	+	AHOIKHHK_00749	1	persistent	0	0	0	None	None
MEBKDNAM_00113	NC_009328.1	111287	111655	+	AHOIKHHK_00750	1	persistent	0	0	0	None	None
MEBKDNAM_00114	NC_009328.1	111761	112363	+	HLMLLCKC_01669	1	persistent	0	0	0	None	None
MEBKDNAM_00115	NC_009328.1	112769	116341	+	HLMLLCKC_01668	1	persistent	0	0	0	None	None
MEBKDNAM_00116	NC_009328.1	116453	120052	+	MEBKDNAM_00116	1	persistent	0	0	0	None	None
MEBKDNAM_00117	NC_009328.1	120189	120437	+	HLMLLCKC_01666	1	persistent	0	0	0	None	None
MEBKDNAM_00118	NC_009328.1	120528	120950	+	KGENGAEB_03045	1	persistent	0	0	0	None	None
MEBKDNAM_00119	NC_009328.1	120990	121460	+	KGENGAEB_03044	1	persistent	0	0	0	None	None
MEBKDNAM_00120	NC_009328.1	121651	123729	+	FDKLAMFJ_01948	1	persistent	0	0	0	None	None
MEBKDNAM_00121	NC_009328.1	123852	125039	+	MEBKDNAM_00121	1	persistent	0	0	0	None	None
MEBKDNAM_00122	NC_009328.1	125467	125775	+	MEBKDNAM_00122	1	persistent	0	0	0	None	None
MEBKDNAM_00123	NC_009328.1	125801	126436	+	MEBKDNAM_00123	1	persistent	0	0	0	None	None
MEBKDNAM_00124	NC_009328.1	126466	127089	+	AHOIKHHK_00761	1	persistent	0	0	0	None	None
MEBKDNAM_00125	NC_009328.1	127089	127376	+	MEBKDNAM_00125	1	persistent	0	0	0	None	None
MEBKDNAM_00126	NC_009328.1	127404	128234	+	MEBKDNAM_00126	1	persistent	0	0	0	None	None
MEBKDNAM_00127	NC_009328.1	128268	128546	+	MEBKDNAM_00127	1	persistent	0	0	0	None	None
MEBKDNAM_00128	NC_009328.1	128565	128906	+	MEBKDNAM_00128	1	persistent	0	0	0	None	None
