gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
FLBMOKII_00001	NZ_CP020030.1	1	1353	+	FLBMOKII_00001	1	persistent	0	0	0	None	None
FLBMOKII_00002	NZ_CP020030.1	1525	2661	+	AHOIKHHK_01805	1	persistent	0	0	0	None	None
FLBMOKII_00003	NZ_CP020030.1	2851	3072	+	AHOIKHHK_01804	1	persistent	0	0	0	None	None
FLBMOKII_00004	NZ_CP020030.1	3084	4202	+	AHOIKHHK_01803	1	persistent	0	0	0	None	None
FLBMOKII_00005	NZ_CP020030.1	4248	6170	+	AHOIKHHK_01802	2	persistent	0	0	0	None	None
FLBMOKII_00006	NZ_CP020030.1	6323	8791	+	MEBKDNAM_00006	1	persistent	0	0	0	None	None
FLBMOKII_00007	NZ_CP020030.1	8918	9979	+	AHOIKHHK_01800	1	persistent	0	0	0	None	None
FLBMOKII_00008	NZ_CP020030.1	11601	11855	+	FLBMOKII_01433	10	cloud	0	0	0	None	63,29,54
FLBMOKII_00011	NZ_CP020030.1	14725	15018	+	FLBMOKII_00170	10	persistent	0	0	0	None	29,54,30,63,15
FLBMOKII_00012	NZ_CP020030.1	15801	16787	-	KGENGAEB_03268	1	persistent	0	0	0	None	None
FLBMOKII_00013	NZ_CP020030.1	16914	18380	+	MEBKDNAM_00012	1	persistent	0	0	0	None	None
FLBMOKII_00014	NZ_CP020030.1	18484	19848	+	AHOIKHHK_02944	1	persistent	0	0	0	None	None
FLBMOKII_00015	NZ_CP020030.1	19978	20862	+	HLMLLCKC_02451	1	persistent	0	0	0	None	None
FLBMOKII_00016	NZ_CP020030.1	20887	21474	+	HLMLLCKC_02450	1	persistent	0	0	0	None	None
FLBMOKII_00017	NZ_CP020030.1	21754	23028	+	HLMLLCKC_02449	1	persistent	0	0	0	None	None
FLBMOKII_00018	NZ_CP020030.1	23286	24572	-	HLMLLCKC_02448	1	persistent	0	0	0	None	None
FLBMOKII_00019	NZ_CP020030.1	24631	25140	+	HLMLLCKC_02447	1	persistent	0	0	0	None	None
FLBMOKII_00020	NZ_CP020030.1	25572	27251	+	HLMLLCKC_02446	1	persistent	0	0	0	None	None
FLBMOKII_00021	NZ_CP020030.1	27274	27600	+	HLMLLCKC_02445	1	persistent	0	0	0	None	None
FLBMOKII_00022	NZ_CP020030.1	27610	28206	+	IJIGFOAD_01804	1	persistent	0	0	0	None	None
FLBMOKII_00023	NZ_CP020030.1	28230	28454	+	IJIGFOAD_01803	1	persistent	0	0	0	None	None
FLBMOKII_00024	NZ_CP020030.1	28533	28796	+	IJIGFOAD_01802	1	persistent	0	0	0	None	None
FLBMOKII_00025	NZ_CP020030.1	30406	30660	+	FLBMOKII_01433	10	cloud	0	0	0	None	63,29,54
FLBMOKII_00028	NZ_CP020030.1	33529	33822	+	FLBMOKII_00170	10	persistent	0	0	0	None	29,54,30,63,15
FLBMOKII_00029	NZ_CP020030.1	34735	34941	+	HLMLLCKC_01957	1	persistent	0	0	0	None	None
FLBMOKII_00030	NZ_CP020030.1	35144	36580	+	HLMLLCKC_01956	1	persistent	0	0	0	None	None
FLBMOKII_00031	NZ_CP020030.1	36604	37281	+	HLMLLCKC_01955	1	persistent	0	0	0	None	None
FLBMOKII_00032	NZ_CP020030.1	37319	38305	+	FLBMOKII_00032	1	persistent	0	0	0	None	None
