Gene ID,Organism,Gene Family,Genome ID,UniProtKB,Partition
KGENGAEB_03268,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,KGENGAEB_03268,KGENGAEB,,persistent
IJIGFOAD_01814,Geobacillus_thermodenitrificans_KCTC3902,KGENGAEB_03268,KGENGAEB,,persistent
AHOIKHHK_02942,Geobacillus_thermodenitrificans_K1041,KGENGAEB_03268,KGENGAEB,,persistent
FDKLAMFJ_02056,Geobacillus_thermodenitrificans_ID-1,KGENGAEB_03268,KGENGAEB,,persistent
HLMLLCKC_02454,Geobacillus_thermodenitrificans_OS27,KGENGAEB_03268,KGENGAEB,,persistent
MEBKDNAM_00011,Geobacillus_thermodenitrificans_NG80-2,KGENGAEB_03268,KGENGAEB,,persistent
NCBEONCI_01857,Geobacillus_thermodenitrificans_JSC_T9a,KGENGAEB_03268,KGENGAEB,,persistent
FLBMOKII_00012,Geobacillus_thermodenitrificans_T12,KGENGAEB_03268,KGENGAEB,,persistent
KGENGAEB_03304,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,KGENGAEB_03304,KGENGAEB,,persistent
IJIGFOAD_01760,Geobacillus_thermodenitrificans_KCTC3902,KGENGAEB_03304,KGENGAEB,,persistent
AHOIKHHK_01866,Geobacillus_thermodenitrificans_K1041,KGENGAEB_03304,KGENGAEB,,persistent
FDKLAMFJ_02002,Geobacillus_thermodenitrificans_ID-1,KGENGAEB_03304,KGENGAEB,,persistent
HLMLLCKC_02010,Geobacillus_thermodenitrificans_OS27,KGENGAEB_03304,KGENGAEB,,persistent
MEBKDNAM_00066,Geobacillus_thermodenitrificans_NG80-2,KGENGAEB_03304,KGENGAEB,,persistent
NCBEONCI_01682,Geobacillus_thermodenitrificans_JSC_T9a,KGENGAEB_03304,KGENGAEB,,persistent
FLBMOKII_00069,Geobacillus_thermodenitrificans_T12,KGENGAEB_03304,KGENGAEB,,persistent
KGENGAEB_01903,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00032,IJIGFOAD,,persistent
IJIGFOAD_00032,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00032,IJIGFOAD,,persistent
IJIGFOAD_03542,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00032,IJIGFOAD,,persistent
AHOIKHHK_02331,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00032,IJIGFOAD,,persistent
FDKLAMFJ_00146,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00032,IJIGFOAD,,persistent
HLMLLCKC_00737,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00032,IJIGFOAD,,persistent
