gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
AHOIKHHK_00001	NZ_JABTVO010000001.1	116	877	-	NCBEONCI_00448	1	persistent	0	0	0	None	None
AHOIKHHK_00002	NZ_JABTVO010000001.1	1296	3068	-	AHOIKHHK_00002	1	persistent	0	0	0	None	None
AHOIKHHK_00003	NZ_JABTVO010000001.1	3072	4352	-	AHOIKHHK_00003	1	persistent	0	0	0	None	None
AHOIKHHK_00004	NZ_JABTVO010000001.1	4774	6297	-	AHOIKHHK_00004	1	persistent	0	0	0	None	None
AHOIKHHK_00005	NZ_JABTVO010000001.1	6312	6875	-	FLBMOKII_02693	1	persistent	0	0	0	None	None
AHOIKHHK_00006	NZ_JABTVO010000001.1	7233	7406	-	FLBMOKII_02694	1	persistent	0	0	0	None	None
AHOIKHHK_00007	NZ_JABTVO010000001.1	7485	7943	-	FLBMOKII_02695	1	persistent	0	0	0	None	None
AHOIKHHK_00008	NZ_JABTVO010000001.1	7966	10164	-	FLBMOKII_02696	1	persistent	0	0	0	None	None
AHOIKHHK_00009	NZ_JABTVO010000001.1	10311	10823	-	KGENGAEB_00769	1	persistent	0	0	0	None	None
AHOIKHHK_00010	NZ_JABTVO010000001.1	10823	13180	-	KGENGAEB_00768	1	persistent	0	0	0	None	None
AHOIKHHK_00011	NZ_JABTVO010000001.1	13238	14140	-	KGENGAEB_00767	1	persistent	0	0	0	None	None
AHOIKHHK_00012	NZ_JABTVO010000001.1	14164	14286	-	KGENGAEB_00766	1	persistent	0	0	0	None	None
AHOIKHHK_00013	NZ_JABTVO010000001.1	14286	16538	-	KGENGAEB_00765	1	persistent	0	0	0	None	None
AHOIKHHK_00014	NZ_JABTVO010000001.1	16658	16948	-	IJIGFOAD_02741	1	persistent	0	0	0	None	None
AHOIKHHK_00015	NZ_JABTVO010000001.1	17056	18618	+	IJIGFOAD_02740	1	persistent	0	0	0	None	None
AHOIKHHK_00016	NZ_JABTVO010000001.1	18686	19069	+	FLBMOKII_02704	1	persistent	0	0	0	None	None
AHOIKHHK_00017	NZ_JABTVO010000001.1	19187	19462	-	HLMLLCKC_02253	1	persistent	0	0	0	None	None
AHOIKHHK_00018	NZ_JABTVO010000001.1	19486	20628	-	MEBKDNAM_02637	1	persistent	0	0	0	None	None
AHOIKHHK_00019	NZ_JABTVO010000001.1	20646	21674	-	MEBKDNAM_02638	1	persistent	0	0	0	None	None
AHOIKHHK_00020	NZ_JABTVO010000001.1	21690	21896	-	MEBKDNAM_02639	1	persistent	0	0	0	None	None
AHOIKHHK_00021	NZ_JABTVO010000001.1	21893	22894	-	MEBKDNAM_02640	1	persistent	0	0	0	None	None
