locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCBEONCI_00001	CDS	291				hypothetical protein
NCBEONCI_00002	CDS	444	hspA		COG0071	Spore protein SP21
NCBEONCI_00003	CDS	1023	melR_1		COG1609	HTH-type transcriptional repressor MelR
NCBEONCI_00004	CDS	1533	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
NCBEONCI_00005	CDS	987	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
NCBEONCI_00006	CDS	1185	galK	2.7.1.6	COG0153	Galactokinase
NCBEONCI_00007	CDS	783				hypothetical protein
NCBEONCI_00008	CDS	2190	agaA	3.2.1.22		Alpha-galactosidase AgaA
NCBEONCI_00009	CDS	816	melC		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
NCBEONCI_00010	CDS	921	melD		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
NCBEONCI_00011	CDS	1272	melE		COG1653	Melibiose/raffinose/stachyose-binding protein MelE
NCBEONCI_00012	CDS	1035	melR_2		COG1609	HTH-type transcriptional repressor MelR
NCBEONCI_00013	CDS	1653	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
NCBEONCI_00014	CDS	567	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
NCBEONCI_00015	CDS	156				hypothetical protein
NCBEONCI_00016	CDS	1398	arlS	2.7.13.3		Signal transduction histidine-protein kinase ArlS
NCBEONCI_00017	CDS	675	arlR_1		COG0745	Response regulator ArlR
NCBEONCI_00018	CDS	123				hypothetical protein
NCBEONCI_00019	CDS	465				hypothetical protein
NCBEONCI_00020	CDS	186				hypothetical protein
NCBEONCI_00021	CDS	255	csgA			Sigma-G-dependent sporulation-specific SASP protein
NCBEONCI_00022	CDS	345				hypothetical protein
NCBEONCI_00023	CDS	201				hypothetical protein
NCBEONCI_00024	CDS	171				hypothetical protein
NCBEONCI_00025	CDS	363	yppE			putative protein YppE
NCBEONCI_00026	CDS	243				hypothetical protein
NCBEONCI_00027	CDS	606	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
NCBEONCI_00028	CDS	2739	ponA		COG0744	Penicillin-binding protein 1A/1B
NCBEONCI_00029	CDS	504	ypoC			putative protein YpoC
NCBEONCI_00030	CDS	672	nth	4.2.99.18	COG0177	Endonuclease III
NCBEONCI_00031	CDS	708	dnaD		COG3935	DNA replication protein DnaD
NCBEONCI_00032	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
NCBEONCI_00033	CDS	1182		2.6.1.1		Aspartate aminotransferase
NCBEONCI_00034	CDS	480	ypmB		COG5353	putative protein YpmB
NCBEONCI_00035	CDS	171				hypothetical protein
NCBEONCI_00036	CDS	2736	dinG_1	3.1.-.-		3'-5' exonuclease DinG
NCBEONCI_00037	CDS	384	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
NCBEONCI_00038	CDS	870	panC	6.3.2.1	COG0414	Pantothenate synthetase
NCBEONCI_00039	CDS	840	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
NCBEONCI_00040	CDS	990	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
NCBEONCI_00041	CDS	1215	cca	2.7.7.72		CCA-adding enzyme
NCBEONCI_00042	CDS	1137	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
NCBEONCI_00043	CDS	720	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
NCBEONCI_00044	CDS	435	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
NCBEONCI_00045	CDS	798	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
NCBEONCI_00046	CDS	321	ypjD		COG1694	putative protein YpjD
NCBEONCI_00047	CDS	870				hypothetical protein
NCBEONCI_00048	CDS	789				hypothetical protein
NCBEONCI_00049	CDS	600				hypothetical protein
NCBEONCI_00050	CDS	765	petD			Cytochrome b6-f complex subunit 4
NCBEONCI_00051	CDS	675	qcrB		COG1290	Menaquinol-cytochrome c reductase cytochrome b subunit
NCBEONCI_00052	CDS	510	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
NCBEONCI_00053	CDS	456				hypothetical protein
NCBEONCI_00054	CDS	534				hypothetical protein
NCBEONCI_00055	CDS	1257	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
NCBEONCI_00056	CDS	1284	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
NCBEONCI_00057	CDS	1104				hypothetical protein
NCBEONCI_00058	CDS	1098	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
NCBEONCI_00059	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
NCBEONCI_00060	CDS	1218	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
NCBEONCI_00061	CDS	687	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
NCBEONCI_00062	CDS	777	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
NCBEONCI_00063	CDS	1020	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
NCBEONCI_00064	CDS	1527	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
NCBEONCI_00065	CDS	381	aroH	5.4.99.5	COG4401	Chorismate mutase AroH
NCBEONCI_00066	CDS	1101	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
