locus_tag	ftype	length_bp	gene	EC_number	COG	product
KGENGAEB_00001	CDS	1488				hypothetical protein
KGENGAEB_00002	CDS	489				hypothetical protein
KGENGAEB_00003	CDS	372	ytcD		COG1733	putative HTH-type transcriptional regulator YtcD
KGENGAEB_00004	CDS	1194	ydhP		COG2814	Inner membrane transport protein YdhP
KGENGAEB_00005	CDS	846	ytbE_1	1.-.-.-	COG0656	putative oxidoreductase YtbE
KGENGAEB_00006	CDS	516				hypothetical protein
KGENGAEB_00007	CDS	816	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
KGENGAEB_00008	CDS	1050	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
KGENGAEB_00009	CDS	1296		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
KGENGAEB_00010	CDS	288	fixX		COG2440	Ferredoxin-like protein FixX
KGENGAEB_00011	CDS	225				hypothetical protein
KGENGAEB_00012	CDS	222				hypothetical protein
KGENGAEB_00013	CDS	1845	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
KGENGAEB_00014	CDS	1065	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
KGENGAEB_00015	CDS	675	hssR			Heme response regulator HssR
KGENGAEB_00016	CDS	792	drrB			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
KGENGAEB_00017	CDS	1011	drrA	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
KGENGAEB_00018	CDS	2358	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
KGENGAEB_00019	CDS	1035	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
KGENGAEB_00020	CDS	165				hypothetical protein
KGENGAEB_00021	CDS	153				hypothetical protein
KGENGAEB_00022	CDS	417				hypothetical protein
KGENGAEB_00023	CDS	288				hypothetical protein
KGENGAEB_00024	CDS	693				hypothetical protein
KGENGAEB_00025	CDS	873	ykqA	2.3.2.-	COG2105	Putative gamma-glutamylcyclotransferase YkqA
KGENGAEB_00026	CDS	549				hypothetical protein
KGENGAEB_00027	CDS	537				hypothetical protein
KGENGAEB_00028	CDS	267				hypothetical protein
KGENGAEB_00029	CDS	1293	abaF_1			Fosfomycin resistance protein AbaF
KGENGAEB_00030	CDS	984	arcB	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
KGENGAEB_00031	CDS	915	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
KGENGAEB_00032	CDS	927	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
KGENGAEB_00033	CDS	627				hypothetical protein
KGENGAEB_00034	CDS	210				hypothetical protein
KGENGAEB_00035	CDS	747	yjjP		COG2966	Inner membrane protein YjjP
KGENGAEB_00036	CDS	426				hypothetical protein
KGENGAEB_00037	CDS	1161	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
KGENGAEB_00038	CDS	825				hypothetical protein
KGENGAEB_00039	CDS	1128	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
KGENGAEB_00040	CDS	1536	actP		COG4147	Cation/acetate symporter ActP
KGENGAEB_00041	CDS	342				hypothetical protein
KGENGAEB_00042	CDS	1416	yhdG		COG0531	putative amino acid permease YhdG
KGENGAEB_00043	CDS	741	sigI			RNA polymerase sigma factor SigI
KGENGAEB_00044	CDS	252				hypothetical protein
KGENGAEB_00045	CDS	825				hypothetical protein
KGENGAEB_00046	CDS	204	sspD			Small, acid-soluble spore protein D
KGENGAEB_00047	CDS	1017	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
KGENGAEB_00048	CDS	2097				hypothetical protein
KGENGAEB_00049	CDS	1266	araN_1		COG1653	putative arabinose-binding protein
KGENGAEB_00050	CDS	900	lacF_1			Lactose transport system permease protein LacF
KGENGAEB_00051	CDS	828	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
KGENGAEB_00052	CDS	153				hypothetical protein
KGENGAEB_00053	CDS	168				hypothetical protein
KGENGAEB_00054	CDS	153				hypothetical protein
KGENGAEB_00055	CDS	1773				hypothetical protein
KGENGAEB_00056	CDS	2217	kinE_1	2.7.13.3	COG2202	Sporulation kinase E
KGENGAEB_00057	CDS	492	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
KGENGAEB_00058	CDS	1014	rbsC_1		COG1172	Ribose import permease protein RbsC
KGENGAEB_00059	CDS	1536	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
KGENGAEB_00060	CDS	1149				hypothetical protein
KGENGAEB_00061	CDS	1068	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
KGENGAEB_00062	CDS	1191	mtnK	2.7.1.100	COG4857	Methylthioribose kinase
KGENGAEB_00063	CDS	816	yafV	3.5.1.3		Omega-amidase YafV
KGENGAEB_00064	CDS	1176	bacF	2.6.1.-	COG0436	Transaminase BacF
KGENGAEB_00065	CDS	93				hypothetical protein
KGENGAEB_00066	CDS	1242	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
KGENGAEB_00067	CDS	663	mtnX	3.1.3.87	COG4359	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
KGENGAEB_00068	CDS	636	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
KGENGAEB_00069	CDS	543	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
KGENGAEB_00070	CDS	717	zupT		COG0428	Zinc transporter ZupT
KGENGAEB_00071	CDS	462	mhqR		COG1846	HTH-type transcriptional regulator MhqR
KGENGAEB_00072	CDS	204				hypothetical protein
KGENGAEB_00073	CDS	552				hypothetical protein
KGENGAEB_00074	CDS	2019	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
KGENGAEB_00075	CDS	1425	arcD		COG0531	Arginine/ornithine antiporter
KGENGAEB_00076	CDS	252				hypothetical protein
KGENGAEB_00077	CDS	1695				hypothetical protein
KGENGAEB_00078	CDS	519				hypothetical protein
KGENGAEB_00079	CDS	729	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
KGENGAEB_00080	CDS	1026	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
KGENGAEB_00081	CDS	654				hypothetical protein
KGENGAEB_00082	CDS	2136	clpE		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpE
KGENGAEB_00083	CDS	744				hypothetical protein
KGENGAEB_00084	CDS	1038				hypothetical protein
KGENGAEB_00085	CDS	99				hypothetical protein
KGENGAEB_00086	CDS	1512	gerBA_1			Spore germination protein B1
KGENGAEB_00087	CDS	1092	gerAC_1			Spore germination protein A3
KGENGAEB_00088	CDS	1113	yndE_1			Spore germination protein YndE
KGENGAEB_00089	CDS	672	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
KGENGAEB_00090	CDS	438	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
KGENGAEB_00091	CDS	735	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
KGENGAEB_00092	CDS	498	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
KGENGAEB_00093	CDS	660				hypothetical protein
KGENGAEB_00094	CDS	183				hypothetical protein
KGENGAEB_00095	CDS	588				hypothetical protein
KGENGAEB_00096	CDS	195				hypothetical protein
KGENGAEB_00097	CDS	645				hypothetical protein
KGENGAEB_00098	CDS	759	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
KGENGAEB_00099	CDS	246				hypothetical protein
KGENGAEB_00100	CDS	1278	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
KGENGAEB_00101	CDS	639	yodC	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YodC
KGENGAEB_00102	CDS	129				hypothetical protein
KGENGAEB_00103	CDS	822	yvaM	3.-.-.-		AB hydrolase superfamily protein YvaM
KGENGAEB_00104	CDS	858	glcT		COG3711	PtsGHI operon antiterminator
KGENGAEB_00105	CDS	2016	ptsG	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
KGENGAEB_00106	CDS	264	ptsH			Phosphocarrier protein HPr
KGENGAEB_00107	CDS	1722	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
KGENGAEB_00108	CDS	552				hypothetical protein
KGENGAEB_00109	CDS	198				hypothetical protein
KGENGAEB_00110	CDS	1977	mcpC		COG0840	Methyl-accepting chemotaxis protein McpC
KGENGAEB_00111	CDS	2853	odhA	1.2.4.2		2-oxoglutarate dehydrogenase E1 component
KGENGAEB_00112	CDS	1320	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
KGENGAEB_00113	CDS	318				hypothetical protein
KGENGAEB_00114	CDS	786	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KGENGAEB_00115	CDS	867	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
KGENGAEB_00116	CDS	1209	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
KGENGAEB_00117	CDS	783	gno	1.1.1.-		Gluconate 5-dehydrogenase
KGENGAEB_00118	CDS	1620	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
KGENGAEB_00119	CDS	576	kstR2_1			HTH-type transcriptional repressor KstR2
KGENGAEB_00120	CDS	1059				hypothetical protein
KGENGAEB_00121	CDS	786	comB	3.1.3.71	COG2045	putative 2-phosphosulfolactate phosphatase
KGENGAEB_00122	CDS	975		1.3.1.103		2-haloacrylate reductase
KGENGAEB_00123	CDS	1158	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
KGENGAEB_00124	CDS	228				hypothetical protein
KGENGAEB_00125	CDS	987	corA_1		COG0598	Cobalt/magnesium transport protein CorA
KGENGAEB_00126	CDS	651				hypothetical protein
KGENGAEB_00127	CDS	1182				hypothetical protein
KGENGAEB_00128	CDS	435				hypothetical protein
KGENGAEB_00129	CDS	870	lpxG	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
KGENGAEB_00130	CDS	768	fadH	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
KGENGAEB_00131	CDS	1218	ykuI		COG2200	putative EAL-domain containing protein YkuI
KGENGAEB_00132	CDS	234				hypothetical protein
KGENGAEB_00133	CDS	198	ykzF			putative protein YkzF
KGENGAEB_00134	CDS	477	ykuL		COG0517	CBS domain-containing protein YkuL
KGENGAEB_00135	CDS	744				hypothetical protein
KGENGAEB_00136	CDS	873	gltR		COG0583	HTH-type transcriptional regulator GltR
KGENGAEB_00137	CDS	711	dapH_1	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
KGENGAEB_00138	CDS	1134		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
KGENGAEB_00139	CDS	243				hypothetical protein
KGENGAEB_00140	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
KGENGAEB_00141	CDS	456	ykuV	1.8.-.-	COG0526	Thiol-disulfide oxidoreductase YkuV
