# BUSCO version is: 5.6.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	RSGAB03009:1-3597	1	3597	+	1758.0	1049	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	RSGAB03010:1-3570	1	3570	+	1330.0	789	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	RSGAB02843:1-2226	1	2226	+	368.5	426	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	RSGAB00458:1-2634	1	2634	+	575.2	527	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	RSGAB03556:1-1977	1	1977	+	770.9	488	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	RSGAB02067:1-1842	1	1842	+	545.8	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	RSGAB00502:1-1827	1	1827	+	760.4	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	RSGAB03111:1-1350	1	1350	+	335.4	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	RSGAB01930:1-2073	1	2073	+	552.2	474	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	RSGAB00442:1-1770	1	1770	+	614.1	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	RSGAB03135:1-1284	1	1284	+	333.6	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	RSGAB02842:1-1410	1	1410	+	270.3	288	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	RSGAB03098:1-1272	1	1272	+	426.2	311	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	RSGAB01881:1-1149	1	1149	+	205.0	210	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	RSGAB00221:1-1257	1	1257	+	345.9	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	RSGAB03262:1-1419	1	1419	+	588.4	361	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	RSGAB03587:1-1182	1	1182	+	189.3	219	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	RSGAB00314:1-1032	1	1032	+	434.7	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	RSGAB02861:1-1740	1	1740	+	320.0	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	RSGAB03029:1-1434	1	1434	+	222.9	232	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	RSGAB03590:1-1290	1	1290	+	395.0	289	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	RSGAB02975:1-942	1	942	+	276.4	225	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	RSGAB01884:1-1701	1	1701	+	810.1	542	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	RSGAB03077:1-1950	1	1950	+	232.0	312	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	RSGAB00777:1-672	1	672	+	261.2	205	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	RSGAB03260:1-1515	1	1515	+	681.0	409	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	RSGAB02228:1-912	1	912	+	156.5	177	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	RSGAB00423:1-999	1	999	+	417.3	270	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	RSGAB02841:1-1038	1	1038	+	453.7	309	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	RSGAB02838:1-1290	1	1290	+	653.6	422	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	RSGAB00362:1-1284	1	1284	+	102.6	231	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	RSGAB02999:1-828	1	828	+	239.1	171	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	RSGAB00804:1-1164	1	1164	+	260.4	257	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	RSGAB00522:1-906	1	906	+	239.5	221	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	RSGAB02011:1-1131	1	1131	+	266.8	217	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	RSGAB00175:1-1212	1	1212	+	459.7	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	RSGAB00341:1-1770	1	1770	+	276.5	314	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	RSGAB01890:1-720	1	720	+	169.0	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	RSGAB02839:1-1536	1	1536	+	620.6	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	RSGAB00451:1-1113	1	1113	+	461.4	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	RSGAB01829:1-945	1	945	+	165.4	185	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	RSGAB00634:1-1719	1	1719	+	307.3	382	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	RSGAB01845:1-1038	1	1038	+	404.5	262	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	RSGAB02018:1-1353	1	1353	+	333.8	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	RSGAB02996:1-654	1	654	+	209.0	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	RSGAB02019:1-972	1	972	+	281.7	247	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	RSGAB01875:1-906	1	906	+	132.3	129	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
