representative_rgp	representative_rgp_organism	identical_rgp	identical_rgp_organism
NZ_PIZS01000101.1_RGP_1	Geobacillus_thermodenitrificans_OS27	NZ_PIZS01000101.1_RGP_1	Geobacillus_thermodenitrificans_OS27
NZ_PIZS01000101.1_RGP_1	Geobacillus_thermodenitrificans_OS27	NZ_JABTVO010000034.1_RGP_0	Geobacillus_thermodenitrificans_K1041
NZ_PIZS01000101.1_RGP_1	Geobacillus_thermodenitrificans_OS27	NZ_CP017690.1_RGP_29	Geobacillus_thermodenitrificans_ID-1
NZ_CP020030.1_RGP_23	Geobacillus_thermodenitrificans_T12	NZ_CP020030.1_RGP_23	Geobacillus_thermodenitrificans_T12
