locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLBMOKII_00001	CDS	1353	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FLBMOKII_00002	CDS	1137	dnaN		COG0592	Beta sliding clamp
FLBMOKII_00003	CDS	222				hypothetical protein
FLBMOKII_00004	CDS	1119	recF		COG1195	DNA replication and repair protein RecF
FLBMOKII_00005	CDS	1923	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
FLBMOKII_00006	CDS	2469	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
FLBMOKII_00007	CDS	1062				hypothetical protein
FLBMOKII_00008	CDS	255				hypothetical protein
FLBMOKII_00009	tRNA	77				tRNA-Ile(gat)
FLBMOKII_00010	tRNA	76				tRNA-Ala(tgc)
FLBMOKII_00011	CDS	294				hypothetical protein
FLBMOKII_00012	CDS	987				hypothetical protein
FLBMOKII_00013	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
FLBMOKII_00014	CDS	1365	dacA	3.4.16.4		D-alanyl-D-alanine carboxypeptidase DacA
FLBMOKII_00015	CDS	885	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
FLBMOKII_00016	CDS	588	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
FLBMOKII_00017	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
FLBMOKII_00018	CDS	1287	sleL_1	3.2.1.-	COG3858	Cortical fragment-lytic enzyme
FLBMOKII_00019	CDS	510	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
FLBMOKII_00020	CDS	1680	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
FLBMOKII_00021	CDS	327			COG0718	Nucleoid-associated protein
FLBMOKII_00022	CDS	597	recR		COG0353	Recombination protein RecR
FLBMOKII_00023	CDS	225				hypothetical protein
FLBMOKII_00024	CDS	264	bofA			Sigma-K factor-processing regulatory protein BofA
FLBMOKII_00025	CDS	255				hypothetical protein
FLBMOKII_00026	tRNA	78				tRNA-Ile(gat)
FLBMOKII_00027	tRNA	76				tRNA-Ala(tgc)
FLBMOKII_00028	CDS	294				hypothetical protein
FLBMOKII_00029	CDS	207	csfB			Anti-sigma-G factor Gin
FLBMOKII_00030	CDS	1437	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
FLBMOKII_00031	CDS	678	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
FLBMOKII_00032	CDS	987				hypothetical protein
FLBMOKII_00033	CDS	828				hypothetical protein
FLBMOKII_00034	CDS	363	yabA		COG4467	Initiation-control protein YabA
FLBMOKII_00035	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
FLBMOKII_00036	CDS	906	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
FLBMOKII_00037	CDS	294	abrB		COG2002	Transition state regulatory protein AbrB
FLBMOKII_00038	CDS	102				hypothetical protein
FLBMOKII_00039	CDS	1953	metG	6.1.1.10		Methionine--tRNA ligase
FLBMOKII_00040	CDS	771	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
FLBMOKII_00041	CDS	1233				hypothetical protein
FLBMOKII_00042	CDS	540	rnmV_1	3.1.26.8	COG1658	Ribonuclease M5
FLBMOKII_00043	CDS	882	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
FLBMOKII_00044	CDS	900	yabG	3.4.-.-		Sporulation-specific protease YabG
FLBMOKII_00045	CDS	258	veg		COG4466	Protein Veg
FLBMOKII_00046	CDS	150				hypothetical protein
FLBMOKII_00047	CDS	873	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
FLBMOKII_00048	CDS	822	purR_1		COG0503	Pur operon repressor
FLBMOKII_00049	CDS	375	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
FLBMOKII_00050	CDS	291	spoVG		COG2088	Putative septation protein SpoVG
FLBMOKII_00051	CDS	1380	glmU			Bifunctional protein GlmU
FLBMOKII_00052	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FLBMOKII_00053	CDS	633	ctc		COG1825	General stress protein CTC
FLBMOKII_00054	CDS	561	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
FLBMOKII_00055	CDS	231	fin			Anti-sigma-F factor Fin
FLBMOKII_00056	CDS	3534	mfd	3.6.4.-		Transcription-repair-coupling factor
FLBMOKII_00057	CDS	537	spoVT		COG2002	Stage V sporulation protein T
FLBMOKII_00058	CDS	651				IS1182 family transposase ISBpu1
FLBMOKII_00059	CDS	2604				hypothetical protein
FLBMOKII_00060	CDS	1461	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
FLBMOKII_00061	CDS	282			COG1188	putative protein
FLBMOKII_00062	CDS	306	yabP			Spore protein YabP
FLBMOKII_00063	CDS	633	yabQ			Spore protein YabQ
FLBMOKII_00064	CDS	372	divIC		COG2919	Cell division protein DivIC
FLBMOKII_00065	CDS	399	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
FLBMOKII_00066	tRNA	75				tRNA-Met(cat)
FLBMOKII_00067	tRNA	75				tRNA-Glu(ttc)
FLBMOKII_00068	CDS	2478	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
FLBMOKII_00069	CDS	741				hypothetical protein
FLBMOKII_00070	CDS	978	yabT	2.7.11.1	COG0515	putative serine/threonine-protein kinase YabT
FLBMOKII_00071	CDS	1395	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
FLBMOKII_00072	CDS	546	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
FLBMOKII_00073	CDS	1896	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
FLBMOKII_00074	CDS	777	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
FLBMOKII_00075	CDS	903	hslO		COG1281	33 kDa chaperonin
FLBMOKII_00076	CDS	927	cysK_1	2.5.1.47	COG0031	Cysteine synthase
FLBMOKII_00077	CDS	1422	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
FLBMOKII_00078	CDS	576	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
FLBMOKII_00079	CDS	885	dat_1	2.6.1.21		D-alanine aminotransferase
FLBMOKII_00080	CDS	852	folP	2.5.1.15		Dihydropteroate synthase
FLBMOKII_00081	CDS	381	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
FLBMOKII_00082	CDS	528	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
FLBMOKII_00083	CDS	222				hypothetical protein
FLBMOKII_00084	CDS	1002	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
FLBMOKII_00085	CDS	1485	lysS	6.1.1.6		Lysine--tRNA ligase
FLBMOKII_00086	tRNA	76				tRNA-Val(tac)
FLBMOKII_00087	tRNA	76				tRNA-Lys(ttt)
FLBMOKII_00088	tRNA	87				tRNA-Leu(cag)
FLBMOKII_00089	tRNA	75				tRNA-Gly(gcc)
FLBMOKII_00090	tRNA	87				tRNA-Leu(taa)
FLBMOKII_00091	tRNA	76				tRNA-Arg(acg)
FLBMOKII_00092	tRNA	74				tRNA-Pro(tgg)
FLBMOKII_00093	tRNA	77				tRNA-Ala(tgc)
FLBMOKII_00094	CDS	255				hypothetical protein
FLBMOKII_00095	CDS	294				hypothetical protein
FLBMOKII_00096	CDS	552	ctsr			Transcriptional regulator CtsR
FLBMOKII_00097	CDS	549	mcsA		COG3880	Protein-arginine kinase activator protein
FLBMOKII_00098	CDS	1092	mcsB	2.7.14.1		Protein-arginine kinase
FLBMOKII_00099	CDS	2436	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
FLBMOKII_00100	CDS	1437	radA	3.6.4.-	COG1066	DNA repair protein RadA
FLBMOKII_00101	CDS	1095	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
FLBMOKII_00102	CDS	687	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
FLBMOKII_00103	CDS	483	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
FLBMOKII_00104	CDS	1470	gltX	6.1.1.17		Glutamate--tRNA ligase
FLBMOKII_00105	CDS	675	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
FLBMOKII_00106	CDS	1404	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
FLBMOKII_00107	CDS	423	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
FLBMOKII_00108	CDS	738		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
