gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
KGENGAEB_00001	NZ_AYKT01000001.1	387	1874	-	AHOIKHHK_03035	1	persistent	0	0	0	None	None
KGENGAEB_00002	NZ_AYKT01000001.1	1871	2359	-	AHOIKHHK_03034	1	persistent	0	0	0	None	None
KGENGAEB_00003	NZ_AYKT01000001.1	2751	3122	-	AHOIKHHK_03033	1	persistent	0	0	0	None	None
KGENGAEB_00004	NZ_AYKT01000001.1	3313	4506	+	IJIGFOAD_00978	1	persistent	0	0	0	None	53
KGENGAEB_00005	NZ_AYKT01000001.1	4726	5571	+	IJIGFOAD_00977	2	persistent	0	0	0	None	53
KGENGAEB_00006	NZ_AYKT01000001.1	6499	7014	+	MEBKDNAM_00861	2	persistent	0	0	0	None	53
KGENGAEB_00007	NZ_AYKT01000001.1	7427	8242	+	MEBKDNAM_00862	1	persistent	0	0	0	None	None
KGENGAEB_00008	NZ_AYKT01000001.1	8319	9368	+	FLBMOKII_00946	1	persistent	0	0	0	None	None
KGENGAEB_00009	NZ_AYKT01000001.1	9361	10656	+	IJIGFOAD_00973	1	persistent	0	0	0	None	None
KGENGAEB_00010	NZ_AYKT01000001.1	10656	10943	+	IJIGFOAD_00972	1	persistent	0	0	0	None	None
KGENGAEB_00011	NZ_AYKT01000001.1	10940	11164	+	NCBEONCI_01222	1	persistent	0	0	0	None	None
KGENGAEB_00012	NZ_AYKT01000001.1	11277	11498	+	NCBEONCI_01221	1	persistent	0	0	0	None	None
KGENGAEB_00013	NZ_AYKT01000001.1	12079	13923	+	FDKLAMFJ_01145	1	persistent	0	0	0	None	None
KGENGAEB_00014	NZ_AYKT01000001.1	14142	15206	-	FDKLAMFJ_01144	1	persistent	0	0	0	None	None
KGENGAEB_00015	NZ_AYKT01000001.1	15203	15877	-	FDKLAMFJ_01143	1	persistent	0	0	0	None	None
KGENGAEB_00016	NZ_AYKT01000001.1	16108	16899	-	FDKLAMFJ_01142	1	persistent	0	0	0	None	None
KGENGAEB_00017	NZ_AYKT01000001.1	16901	17911	-	FDKLAMFJ_01141	1	persistent	0	0	0	None	None
KGENGAEB_00018	NZ_AYKT01000001.1	18350	20707	+	FDKLAMFJ_01140	1	persistent	0	0	0	None	None
