gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
HLMLLCKC_00001	NZ_PIZS01000149.1	52	702	-	MEBKDNAM_00829	1	shell	0	0	0	None	29,45,36,21,19
HLMLLCKC_00004	NZ_PIZS01000154.1	120	218	-	HLMLLCKC_00004	1	shell	0	0	0	None	36
HLMLLCKC_00005	NZ_PIZS01000154.1	365	646	+	HLMLLCKC_03216	2	shell	0	0	0	None	36
HLMLLCKC_00006	NZ_PIZS01000070.1	165	581	-	AHOIKHHK_02622	1	shell	0	0	0	None	8
HLMLLCKC_00007	NZ_PIZS01000134.1	63	590	-	MEBKDNAM_00701	5	persistent	0	0	0	None	40,33,64,12,38,36,21,8,19,63,32,24,44
HLMLLCKC_00008	NZ_PIZS01000101.1	173	1771	+	KGENGAEB_01747	3	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	7,33
HLMLLCKC_00009	NZ_PIZS01000101.1	1786	2757	+	HLMLLCKC_00009	2	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	7,56,33
HLMLLCKC_00010	NZ_PIZS01000101.1	2801	2911	+	HLMLLCKC_00010	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00011	NZ_PIZS01000101.1	2998	3333	+	HLMLLCKC_00011	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00012	NZ_PIZS01000101.1	3585	5207	+	HLMLLCKC_00012	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00013	NZ_PIZS01000101.1	5419	6852	+	HLMLLCKC_00013	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00014	NZ_PIZS01000101.1	7001	7873	+	HLMLLCKC_00014	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00015	NZ_PIZS01000101.1	7863	8621	+	HLMLLCKC_00015	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00016	NZ_PIZS01000101.1	9005	9511	-	HLMLLCKC_00016	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00017	NZ_PIZS01000101.1	9596	10282	-	FDKLAMFJ_01173	1	shell	0	0	0	NZ_PIZS01000101.1_RGP_0	41,36
HLMLLCKC_00018	NZ_PIZS01000101.1	10347	11549	-	FDKLAMFJ_01172	1	shell	0	0	0	NZ_PIZS01000101.1_RGP_0	41,36
HLMLLCKC_00019	NZ_PIZS01000101.1	12198	13724	+	AHOIKHHK_03432	1	shell	0	0	0	NZ_PIZS01000101.1_RGP_0	56,33
HLMLLCKC_00020	NZ_PIZS01000101.1	13730	14206	+	AHOIKHHK_03431	1	shell	0	0	0	NZ_PIZS01000101.1_RGP_0	56,33
HLMLLCKC_00021	NZ_PIZS01000101.1	14477	14767	+	FDKLAMFJ_02251	1	shell	0	0	0	NZ_PIZS01000101.1_RGP_0	56,33
HLMLLCKC_00022	NZ_PIZS01000101.1	14767	15162	+	MEBKDNAM_03394	1	shell	0	0	0	NZ_PIZS01000101.1_RGP_0	56,33
HLMLLCKC_00023	NZ_PIZS01000101.1	15131	15388	+	MEBKDNAM_03393	1	shell	0	0	0	NZ_PIZS01000101.1_RGP_0	56,33
HLMLLCKC_00024	NZ_PIZS01000101.1	15738	16190	-	MEBKDNAM_03392	1	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	7,33
HLMLLCKC_00025	NZ_PIZS01000101.1	16500	16637	+	HLMLLCKC_00025	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	33
HLMLLCKC_00026	NZ_PIZS01000101.1	16725	18011	+	MEBKDNAM_03391	1	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	7,33
HLMLLCKC_00027	NZ_PIZS01000101.1	18306	19268	+	HLMLLCKC_00027	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	33
HLMLLCKC_00028	NZ_PIZS01000101.1	19272	20711	+	KGENGAEB_01760	1	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	33
HLMLLCKC_00029	NZ_PIZS01000101.1	20864	21766	+	KGENGAEB_01761	1	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	33
HLMLLCKC_00030	NZ_PIZS01000101.1	22055	23107	-	FDKLAMFJ_02262	1	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	33
HLMLLCKC_00031	NZ_PIZS01000101.1	23772	24002	+	KGENGAEB_01763	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4
HLMLLCKC_00032	NZ_PIZS01000101.1	24800	26206	-	MEBKDNAM_03384	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4
HLMLLCKC_00033	NZ_PIZS01000101.1	26218	27474	-	MEBKDNAM_03383	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4
HLMLLCKC_00034	NZ_PIZS01000101.1	27506	29032	-	MEBKDNAM_03382	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4
HLMLLCKC_00035	NZ_PIZS01000101.1	29163	30461	-	MEBKDNAM_03381	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4
HLMLLCKC_00036	NZ_PIZS01000101.1	30770	30901	+	HLMLLCKC_00036	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	None
HLMLLCKC_00037	NZ_PIZS01000101.1	30949	31278	+	FLBMOKII_03399	1	persistent	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00038	NZ_PIZS01000101.1	31464	32459	-	HLMLLCKC_00038	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00039	NZ_PIZS01000101.1	32456	33748	-	HLMLLCKC_00039	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00040	NZ_PIZS01000101.1	33788	34777	-	MEBKDNAM_03376	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00041	NZ_PIZS01000101.1	34931	36712	-	FDKLAMFJ_02268	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00042	NZ_PIZS01000101.1	37335	38051	+	HLMLLCKC_00042	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00043	NZ_PIZS01000101.1	38445	39533	+	MEBKDNAM_03373	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00044	NZ_PIZS01000101.1	39551	40624	+	MEBKDNAM_03372	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00045	NZ_PIZS01000101.1	40639	41559	+	MEBKDNAM_03371	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00046	NZ_PIZS01000101.1	41556	42356	+	MEBKDNAM_03370	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00047	NZ_PIZS01000101.1	42372	42683	+	MEBKDNAM_03369	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00048	NZ_PIZS01000101.1	42685	43773	+	MEBKDNAM_03368	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00049	NZ_PIZS01000101.1	43801	44124	+	MEBKDNAM_03367	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00050	NZ_PIZS01000101.1	44130	45203	+	MEBKDNAM_03366	1	cloud	0	0	0	NZ_PIZS01000101.1_RGP_0	4,33
HLMLLCKC_00051	NZ_PIZS01000101.1	45696	47033	+	NCBEONCI_02863	1	persistent	0	0	0	None	33
HLMLLCKC_00052	NZ_PIZS01000101.1	47556	48302	-	MEBKDNAM_03364	1	persistent	0	0	0	None	None
HLMLLCKC_00053	NZ_PIZS01000101.1	48517	50457	+	MEBKDNAM_03363	1	persistent	0	0	0	None	None
HLMLLCKC_00054	NZ_PIZS01000101.1	50593	53256	+	FDKLAMFJ_02289	1	persistent	0	0	0	None	None
HLMLLCKC_00055	NZ_PIZS01000101.1	53253	54950	+	MEBKDNAM_03361	1	persistent	0	0	0	None	None
HLMLLCKC_00056	NZ_PIZS01000101.1	55132	55557	-	MEBKDNAM_03360	1	persistent	0	0	0	None	None
HLMLLCKC_00057	NZ_PIZS01000101.1	56553	57029	+	NCBEONCI_02870	1	persistent	0	0	0	None	None
HLMLLCKC_00058	NZ_PIZS01000101.1	57300	57644	+	FDKLAMFJ_02294	1	persistent	0	0	0	None	None
HLMLLCKC_00059	NZ_PIZS01000101.1	57699	58196	-	HLMLLCKC_00059	1	persistent	0	0	0	None	None
HLMLLCKC_00060	NZ_PIZS01000101.1	58501	58977	-	HLMLLCKC_00060	1	persistent	0	0	0	None	None
HLMLLCKC_00061	NZ_PIZS01000101.1	59274	60212	+	HLMLLCKC_00061	1	persistent	0	0	0	None	None
HLMLLCKC_00062	NZ_PIZS01000101.1	60620	61633	-	HLMLLCKC_00062	1	persistent	0	0	0	None	56
HLMLLCKC_00063	NZ_PIZS01000101.1	62109	63434	+	HLMLLCKC_00063	1	persistent	0	0	0	None	None
HLMLLCKC_00064	NZ_PIZS01000101.1	63436	64314	+	HLMLLCKC_00064	1	persistent	0	0	0	None	None
HLMLLCKC_00065	NZ_PIZS01000101.1	64301	65131	+	HLMLLCKC_00065	1	persistent	0	0	0	None	None
HLMLLCKC_00066	NZ_PIZS01000101.1	65171	66118	+	KGENGAEB_01792	2	persistent	0	0	0	None	1
