locus_tag	ftype	length_bp	gene	EC_number	COG	product
MEBKDNAM_00001	CDS	1353	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MEBKDNAM_00002	CDS	1137	dnaN		COG0592	Beta sliding clamp
MEBKDNAM_00003	CDS	222				hypothetical protein
MEBKDNAM_00004	CDS	1119	recF		COG1195	DNA replication and repair protein RecF
MEBKDNAM_00005	CDS	1923	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
MEBKDNAM_00006	CDS	2469	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MEBKDNAM_00007	CDS	1062				hypothetical protein
MEBKDNAM_00008	tRNA	78				tRNA-Ile(gat)
MEBKDNAM_00009	tRNA	76				tRNA-Ala(tgc)
MEBKDNAM_00010	CDS	294				hypothetical protein
MEBKDNAM_00011	CDS	987				hypothetical protein
MEBKDNAM_00012	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
MEBKDNAM_00013	CDS	1359	dacA	3.4.16.4		D-alanyl-D-alanine carboxypeptidase DacA
MEBKDNAM_00014	CDS	885	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
MEBKDNAM_00015	CDS	588	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
MEBKDNAM_00016	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
MEBKDNAM_00017	CDS	1287	sleL_1	3.2.1.-	COG3858	Cortical fragment-lytic enzyme
MEBKDNAM_00018	CDS	510	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MEBKDNAM_00019	CDS	1680	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
MEBKDNAM_00020	CDS	327			COG0718	Nucleoid-associated protein
MEBKDNAM_00021	CDS	597	recR		COG0353	Recombination protein RecR
MEBKDNAM_00022	CDS	225				hypothetical protein
MEBKDNAM_00023	CDS	264	bofA			Sigma-K factor-processing regulatory protein BofA
MEBKDNAM_00024	tRNA	77				tRNA-Ile(gat)
MEBKDNAM_00025	tRNA	76				tRNA-Ala(tgc)
MEBKDNAM_00026	CDS	294				hypothetical protein
MEBKDNAM_00027	CDS	207	csfB			Anti-sigma-G factor Gin
MEBKDNAM_00028	CDS	1437	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
MEBKDNAM_00029	CDS	678	tmk	2.7.4.9	COG0125	Thymidylate kinase
MEBKDNAM_00030	CDS	987				hypothetical protein
MEBKDNAM_00031	CDS	828				hypothetical protein
MEBKDNAM_00032	CDS	363	yabA		COG4467	Initiation-control protein YabA
MEBKDNAM_00033	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
MEBKDNAM_00034	CDS	906	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
MEBKDNAM_00035	CDS	294	abrB		COG2002	Transition state regulatory protein AbrB
MEBKDNAM_00036	CDS	102				hypothetical protein
MEBKDNAM_00037	CDS	1953	metG	6.1.1.10		Methionine--tRNA ligase
MEBKDNAM_00038	CDS	771	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
MEBKDNAM_00039	CDS	1233				hypothetical protein
MEBKDNAM_00040	CDS	540	rnmV_1	3.1.26.8	COG1658	Ribonuclease M5
MEBKDNAM_00041	CDS	882	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
MEBKDNAM_00042	CDS	900	yabG	3.4.-.-		Sporulation-specific protease YabG
MEBKDNAM_00043	CDS	258	veg		COG4466	Protein Veg
MEBKDNAM_00044	CDS	150				hypothetical protein
MEBKDNAM_00045	CDS	873	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MEBKDNAM_00046	CDS	825	purR_1		COG0503	Pur operon repressor
MEBKDNAM_00047	CDS	375	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MEBKDNAM_00048	CDS	291	spoVG		COG2088	Putative septation protein SpoVG
MEBKDNAM_00049	CDS	1380	glmU			Bifunctional protein GlmU
MEBKDNAM_00050	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MEBKDNAM_00051	CDS	633	ctc		COG1825	General stress protein CTC
MEBKDNAM_00052	CDS	561	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MEBKDNAM_00053	CDS	231	fin			Anti-sigma-F factor Fin
MEBKDNAM_00054	CDS	3534	mfd	3.6.4.-		Transcription-repair-coupling factor
MEBKDNAM_00055	CDS	537	spoVT		COG2002	Stage V sporulation protein T
MEBKDNAM_00056	CDS	1557	murJ_1		COG2244	Lipid II flippase MurJ
MEBKDNAM_00057	CDS	1461	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
MEBKDNAM_00058	CDS	282			COG1188	putative protein
MEBKDNAM_00059	CDS	306	yabP			Spore protein YabP
MEBKDNAM_00060	CDS	633	yabQ			Spore protein YabQ
MEBKDNAM_00061	CDS	372	divIC		COG2919	Cell division protein DivIC
MEBKDNAM_00062	CDS	399	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
MEBKDNAM_00063	tRNA	75				tRNA-Met(cat)
MEBKDNAM_00064	tRNA	75				tRNA-Glu(ttc)
MEBKDNAM_00065	CDS	2478	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
MEBKDNAM_00066	CDS	741				hypothetical protein
MEBKDNAM_00067	CDS	978	yabT	2.7.11.1	COG0515	putative serine/threonine-protein kinase YabT
MEBKDNAM_00068	CDS	1395	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
MEBKDNAM_00069	CDS	546	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
MEBKDNAM_00070	CDS	1896	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
MEBKDNAM_00071	CDS	777	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
MEBKDNAM_00072	CDS	903	hslO		COG1281	33 kDa chaperonin
MEBKDNAM_00073	CDS	927	cysK_1	2.5.1.47	COG0031	Cysteine synthase
MEBKDNAM_00074	CDS	1422	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
MEBKDNAM_00075	CDS	576	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
MEBKDNAM_00076	CDS	885	dat_1	2.6.1.21		D-alanine aminotransferase
MEBKDNAM_00077	CDS	852	folP	2.5.1.15		Dihydropteroate synthase
MEBKDNAM_00078	CDS	381	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
MEBKDNAM_00079	CDS	528	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MEBKDNAM_00080	CDS	222				hypothetical protein
MEBKDNAM_00081	CDS	1002	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
MEBKDNAM_00082	CDS	1485	lysS	6.1.1.6		Lysine--tRNA ligase
MEBKDNAM_00083	tRNA	76				tRNA-Val(tac)
MEBKDNAM_00084	tRNA	76				tRNA-Lys(ttt)
MEBKDNAM_00085	tRNA	87				tRNA-Leu(cag)
MEBKDNAM_00086	tRNA	75				tRNA-Gly(gcc)
MEBKDNAM_00087	tRNA	87				tRNA-Leu(taa)
MEBKDNAM_00088	tRNA	76				tRNA-Arg(acg)
MEBKDNAM_00089	tRNA	74				tRNA-Pro(tgg)
MEBKDNAM_00090	tRNA	77				tRNA-Ala(tgc)
MEBKDNAM_00091	CDS	294				hypothetical protein
MEBKDNAM_00092	CDS	552	ctsr			Transcriptional regulator CtsR
MEBKDNAM_00093	CDS	549	mcsA		COG3880	Protein-arginine kinase activator protein
MEBKDNAM_00094	CDS	1092	mcsB	2.7.14.1		Protein-arginine kinase
MEBKDNAM_00095	CDS	2436	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
MEBKDNAM_00096	CDS	1437	radA	3.6.4.-	COG1066	DNA repair protein RadA
MEBKDNAM_00097	CDS	1095	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
MEBKDNAM_00098	CDS	687	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
MEBKDNAM_00099	CDS	483	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
MEBKDNAM_00100	CDS	1470	gltX	6.1.1.17		Glutamate--tRNA ligase
MEBKDNAM_00101	CDS	675	cysE	2.3.1.30	COG1045	Serine acetyltransferase
MEBKDNAM_00102	CDS	1404	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
MEBKDNAM_00103	CDS	423	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
MEBKDNAM_00104	CDS	738		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
MEBKDNAM_00105	CDS	513	yacP		COG3688	putative protein YacP
MEBKDNAM_00106	CDS	651	sigH		COG1595	RNA polymerase sigma-H factor
MEBKDNAM_00107	CDS	183	secE			Protein translocase subunit SecE
MEBKDNAM_00108	CDS	534	nusG		COG0250	Transcription termination/antitermination protein NusG
MEBKDNAM_00109	CDS	90				hypothetical protein
MEBKDNAM_00110	CDS	426	rplK		COG0080	50S ribosomal protein L11
