,Gene ID,Organism,Gene Family,Genome ID,UniProtKB,Partition,Hypothetical
0,gnl|Prokka|gelc_02697,geobacillus_cnambio1,KGENGAEB_00001,KGENGAEB,,persistent,True
1,gnl|Prokka|gelc_02696,geobacillus_cnambio1,KGENGAEB_00001,KGENGAEB,,persistent,True
2,gnl|Prokka|gelc_02653,geobacillus_cnambio1,KGENGAEB_00033,KGENGAEB,,persistent,True
3,gnl|Prokka|gelc_02539,geobacillus_cnambio1,KGENGAEB_00097,KGENGAEB,,persistent,True
4,gnl|Prokka|gelc_02500,geobacillus_cnambio1,KGENGAEB_00129,KGENGAEB,,persistent,False
5,gnl|Prokka|gelc_02459,geobacillus_cnambio1,KGENGAEB_00161,KGENGAEB,,persistent,False
6,gnl|Prokka|gelc_02418,geobacillus_cnambio1,KGENGAEB_00193,KGENGAEB,,persistent,False
7,gnl|Prokka|gelc_02419,geobacillus_cnambio1,KGENGAEB_00193,KGENGAEB,,persistent,False
8,gnl|Prokka|gelc_02381,geobacillus_cnambio1,KGENGAEB_00225,KGENGAEB,,persistent,False
9,gnl|Prokka|gelc_02327,geobacillus_cnambio1,KGENGAEB_00257,KGENGAEB,,persistent,False
10,gnl|Prokka|gelc_02328,geobacillus_cnambio1,KGENGAEB_00257,KGENGAEB,,persistent,False
11,gnl|Prokka|gelc_02286,geobacillus_cnambio1,KGENGAEB_00289,KGENGAEB,,persistent,False
12,gnl|Prokka|gelc_02209,geobacillus_cnambio1,KGENGAEB_00353,KGENGAEB,,persistent,False
13,gnl|Prokka|gelc_02164,geobacillus_cnambio1,KGENGAEB_00385,KGENGAEB,,persistent,False
14,gnl|Prokka|gelc_02122,geobacillus_cnambio1,KGENGAEB_00417,KGENGAEB,,persistent,True
15,gnl|Prokka|gelc_02084,geobacillus_cnambio1,KGENGAEB_00449,KGENGAEB,,persistent,False
16,gnl|Prokka|gelc_02083,geobacillus_cnambio1,KGENGAEB_00449,KGENGAEB,,persistent,False
17,gnl|Prokka|gelc_00049,geobacillus_cnambio1,KGENGAEB_00491,KGENGAEB,,persistent,False
18,gnl|Prokka|gelc_00086,geobacillus_cnambio1,KGENGAEB_00523,KGENGAEB,,persistent,False
19,gnl|Prokka|gelc_00129,geobacillus_cnambio1,KGENGAEB_00555,KGENGAEB,,persistent,False
20,gnl|Prokka|gelc_00186,geobacillus_cnambio1,KGENGAEB_00587,KGENGAEB,,persistent,False
21,gnl|Prokka|gelc_00189,geobacillus_cnambio1,KGENGAEB_00587,KGENGAEB,,persistent,False
22,gnl|Prokka|gelc_00231,geobacillus_cnambio1,KGENGAEB_00619,KGENGAEB,,persistent,True
23,gnl|Prokka|gelc_00275,geobacillus_cnambio1,KGENGAEB_00651,KGENGAEB,,persistent,False
24,gnl|Prokka|gelc_00314,geobacillus_cnambio1,KGENGAEB_00683,KGENGAEB,,persistent,False
25,gnl|Prokka|gelc_00358,geobacillus_cnambio1,KGENGAEB_00715,KGENGAEB,,persistent,True
26,gnl|Prokka|gelc_00357,geobacillus_cnambio1,KGENGAEB_00715,KGENGAEB,,persistent,True
27,gnl|Prokka|gelc_00398,geobacillus_cnambio1,KGENGAEB_00747,KGENGAEB,,persistent,False
28,gnl|Prokka|gelc_00399,geobacillus_cnambio1,KGENGAEB_00747,KGENGAEB,,persistent,False
29,gnl|Prokka|gelc_00439,geobacillus_cnambio1,KGENGAEB_00779,KGENGAEB,,persistent,False
30,gnl|Prokka|gelc_00440,geobacillus_cnambio1,KGENGAEB_00779,KGENGAEB,,persistent,False
31,gnl|Prokka|gelc_00476,geobacillus_cnambio1,KGENGAEB_00811,KGENGAEB,,persistent,False
32,gnl|Prokka|gelc_00517,geobacillus_cnambio1,KGENGAEB_00843,KGENGAEB,,persistent,False
33,gnl|Prokka|gelc_00516,geobacillus_cnambio1,KGENGAEB_00843,KGENGAEB,,persistent,False
34,gnl|Prokka|gelc_00556,geobacillus_cnambio1,KGENGAEB_00875,KGENGAEB,,persistent,False
35,gnl|Prokka|gelc_00596,geobacillus_cnambio1,KGENGAEB_00907,KGENGAEB,,persistent,True
36,gnl|Prokka|gelc_01614,geobacillus_cnambio1,KGENGAEB_00939,KGENGAEB,,persistent,True
37,gnl|Prokka|gelc_01662,geobacillus_cnambio1,KGENGAEB_00971,KGENGAEB,,persistent,True
38,gnl|Prokka|gelc_01700,geobacillus_cnambio1,KGENGAEB_01003,KGENGAEB,,persistent,True
39,gnl|Prokka|gelc_01699,geobacillus_cnambio1,KGENGAEB_01003,KGENGAEB,,persistent,True
40,gnl|Prokka|gelc_01817,geobacillus_cnambio1,KGENGAEB_01101,KGENGAEB,,persistent,True
41,gnl|Prokka|gelc_01863,geobacillus_cnambio1,KGENGAEB_01133,KGENGAEB,,persistent,True
42,gnl|Prokka|gelc_01864,geobacillus_cnambio1,KGENGAEB_01133,KGENGAEB,,persistent,True
43,gnl|Prokka|gelc_01899,geobacillus_cnambio1,KGENGAEB_01165,KGENGAEB,,persistent,False
44,gnl|Prokka|gelc_01900,geobacillus_cnambio1,KGENGAEB_01165,KGENGAEB,,persistent,False
45,gnl|Prokka|gelc_04450,geobacillus_cnambio1,KGENGAEB_01165,KGENGAEB,,persistent,False
46,gnl|Prokka|gelc_01938,geobacillus_cnambio1,KGENGAEB_01197,KGENGAEB,,persistent,True
47,gnl|Prokka|gelc_01981,geobacillus_cnambio1,KGENGAEB_01229,KGENGAEB,,persistent,False
48,gnl|Prokka|gelc_01982,geobacillus_cnambio1,KGENGAEB_01229,KGENGAEB,,persistent,False
49,gnl|Prokka|gelc_00911,geobacillus_cnambio1,KGENGAEB_01293,KGENGAEB,,persistent,False
50,gnl|Prokka|gelc_00872,geobacillus_cnambio1,KGENGAEB_01325,KGENGAEB,,persistent,False
51,gnl|Prokka|gelc_00832,geobacillus_cnambio1,KGENGAEB_01357,KGENGAEB,,persistent,False
52,gnl|Prokka|gelc_00833,geobacillus_cnambio1,KGENGAEB_01357,KGENGAEB,,persistent,False
53,gnl|Prokka|gelc_00799,geobacillus_cnambio1,KGENGAEB_01389,KGENGAEB,,persistent,False
54,gnl|Prokka|gelc_00752,geobacillus_cnambio1,KGENGAEB_01421,KGENGAEB,,persistent,True
55,gnl|Prokka|gelc_00715,geobacillus_cnambio1,KGENGAEB_01453,KGENGAEB,,persistent,False
56,gnl|Prokka|gelc_00695,geobacillus_cnambio1,KGENGAEB_01485,KGENGAEB,,persistent,False
57,gnl|Prokka|gelc_00653,geobacillus_cnambio1,KGENGAEB_01517,KGENGAEB,,persistent,False
58,gnl|Prokka|gelc_00607,geobacillus_cnambio1,KGENGAEB_01549,KGENGAEB,,persistent,False
59,gnl|Prokka|gelc_03820,geobacillus_cnambio1,KGENGAEB_01581,KGENGAEB,,persistent,False
60,gnl|Prokka|gelc_03875,geobacillus_cnambio1,KGENGAEB_01613,KGENGAEB,,persistent,False
61,gnl|Prokka|gelc_03915,geobacillus_cnambio1,KGENGAEB_01645,KGENGAEB,,persistent,True
62,gnl|Prokka|gelc_03960,geobacillus_cnambio1,KGENGAEB_01677,KGENGAEB,,persistent,True
63,gnl|Prokka|gelc_03997,geobacillus_cnambio1,KGENGAEB_01709,KGENGAEB,,persistent,False
64,gnl|Prokka|gelc_04089,geobacillus_cnambio1,KGENGAEB_01773,KGENGAEB,,persistent,False
65,gnl|Prokka|gelc_04137,geobacillus_cnambio1,KGENGAEB_01805,KGENGAEB,,persistent,False
66,gnl|Prokka|gelc_01329,geobacillus_cnambio1,KGENGAEB_01837,KGENGAEB,,persistent,False
67,gnl|Prokka|gelc_01408,geobacillus_cnambio1,KGENGAEB_01901,KGENGAEB,,persistent,True
68,gnl|Prokka|gelc_01508,geobacillus_cnambio1,KGENGAEB_01966,KGENGAEB,,persistent,False
69,gnl|Prokka|gelc_01561,geobacillus_cnambio1,KGENGAEB_02005,KGENGAEB,,persistent,False
70,gnl|Prokka|gelc_04411,geobacillus_cnambio1,KGENGAEB_02037,KGENGAEB,,persistent,False
71,gnl|Prokka|gelc_04370,geobacillus_cnambio1,KGENGAEB_02071,KGENGAEB,,persistent,False
72,gnl|Prokka|gelc_04290,geobacillus_cnambio1,KGENGAEB_02135,KGENGAEB,,persistent,False
73,gnl|Prokka|gelc_04289,geobacillus_cnambio1,KGENGAEB_02135,KGENGAEB,,persistent,False
74,gnl|Prokka|gelc_04204,geobacillus_cnambio1,KGENGAEB_02167,KGENGAEB,,persistent,False
75,gnl|Prokka|gelc_04206,geobacillus_cnambio1,KGENGAEB_02167,KGENGAEB,,persistent,False
76,gnl|Prokka|gelc_04205,geobacillus_cnambio1,KGENGAEB_02167,KGENGAEB,,persistent,False
77,gnl|Prokka|gelc_04167,geobacillus_cnambio1,KGENGAEB_02199,KGENGAEB,,persistent,True
