gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
FDKLAMFJ_00001	NZ_CP017690.1	211	645	+	HLMLLCKC_03442	2	persistent	0	0	0	None	None
FDKLAMFJ_00002	NZ_CP017690.1	642	1172	+	FDKLAMFJ_00002	1	cloud	0	0	0	NZ_CP017690.1_RGP_20	None
FDKLAMFJ_00003	NZ_CP017690.1	1083	1610	-	FLBMOKII_02111	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00004	NZ_CP017690.1	1833	2690	+	FLBMOKII_02110	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00005	NZ_CP017690.1	2818	3705	+	KGENGAEB_02899	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00006	NZ_CP017690.1	3729	4487	+	MEBKDNAM_01975	3	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00007	NZ_CP017690.1	4439	5092	+	MEBKDNAM_01975	3	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00008	NZ_CP017690.1	5105	6169	+	FDKLAMFJ_00008	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00009	NZ_CP017690.1	6646	7593	+	FDKLAMFJ_00009	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00010	NZ_CP017690.1	8196	9110	+	FDKLAMFJ_00010	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00011	NZ_CP017690.1	9140	9727	+	FDKLAMFJ_00011	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10,49,24
FDKLAMFJ_00012	NZ_CP017690.1	9728	11011	+	MEBKDNAM_02039	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10,49,24
FDKLAMFJ_00013	NZ_CP017690.1	11046	12092	+	FDKLAMFJ_00013	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00014	NZ_CP017690.1	12209	13462	+	FDKLAMFJ_00014	2	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00015	NZ_CP017690.1	13489	15690	+	MEBKDNAM_01966	3	persistent	0	0	0	NZ_CP017690.1_RGP_20	10
FDKLAMFJ_00016	NZ_CP017690.1	15801	16577	+	MEBKDNAM_01965	3	persistent	0	0	0	None	None
FDKLAMFJ_00017	NZ_CP017690.1	16652	17548	+	MEBKDNAM_01964	3	persistent	0	0	0	None	None
FDKLAMFJ_00018	NZ_CP017690.1	17584	19050	+	MEBKDNAM_01963	5	persistent	0	0	0	None	50,47
FDKLAMFJ_00019	NZ_CP017690.1	19181	20005	+	IJIGFOAD_03417	2	persistent	0	0	0	None	None
FDKLAMFJ_00020	NZ_CP017690.1	20002	20811	+	IJIGFOAD_03418	1	persistent	0	0	0	None	None
FDKLAMFJ_00021	NZ_CP017690.1	20808	22043	+	IJIGFOAD_03419	1	persistent	0	0	0	None	None
FDKLAMFJ_00022	NZ_CP017690.1	22238	23182	+	IJIGFOAD_03420	1	persistent	0	0	0	None	None
FDKLAMFJ_00023	NZ_CP017690.1	23198	24151	+	KGENGAEB_02916	1	persistent	0	0	0	None	None
FDKLAMFJ_00024	NZ_CP017690.1	24173	24493	+	KGENGAEB_02917	1	persistent	0	0	0	None	None
FDKLAMFJ_00025	NZ_CP017690.1	24465	25631	+	NCBEONCI_02534	1	persistent	0	0	0	None	None
FDKLAMFJ_00026	NZ_CP017690.1	25689	26648	+	IJIGFOAD_00005	2	persistent	0	0	0	None	5,47,22
FDKLAMFJ_00027	NZ_CP017690.1	26661	27317	+	AHOIKHHK_03322	1	persistent	0	0	0	None	None
FDKLAMFJ_00028	NZ_CP017690.1	27322	28470	+	AHOIKHHK_03321	1	persistent	0	0	0	None	None
FDKLAMFJ_00029	NZ_CP017690.1	28534	29538	+	KGENGAEB_02922	1	persistent	0	0	0	None	None
