Gene ID,Organism,Gene Family,Genome ID,UniProtKB,Partition
KGENGAEB_03268,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,KGENGAEB_03268,KGENGAEB,nan,persistent
IJIGFOAD_01814,Geobacillus_thermodenitrificans_KCTC3902,KGENGAEB_03268,KGENGAEB,nan,persistent
AHOIKHHK_02942,Geobacillus_thermodenitrificans_K1041,KGENGAEB_03268,KGENGAEB,nan,persistent
FDKLAMFJ_02056,Geobacillus_thermodenitrificans_ID-1,KGENGAEB_03268,KGENGAEB,nan,persistent
HLMLLCKC_02454,Geobacillus_thermodenitrificans_OS27,KGENGAEB_03268,KGENGAEB,nan,persistent
MEBKDNAM_00011,Geobacillus_thermodenitrificans_NG80-2,KGENGAEB_03268,KGENGAEB,nan,persistent
NCBEONCI_01857,Geobacillus_thermodenitrificans_JSC_T9a,KGENGAEB_03268,KGENGAEB,nan,persistent
FLBMOKII_00012,Geobacillus_thermodenitrificans_T12,KGENGAEB_03268,KGENGAEB,nan,persistent
KGENGAEB_03304,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,KGENGAEB_03304,KGENGAEB,nan,persistent
IJIGFOAD_01760,Geobacillus_thermodenitrificans_KCTC3902,KGENGAEB_03304,KGENGAEB,nan,persistent
AHOIKHHK_01866,Geobacillus_thermodenitrificans_K1041,KGENGAEB_03304,KGENGAEB,nan,persistent
FDKLAMFJ_02002,Geobacillus_thermodenitrificans_ID-1,KGENGAEB_03304,KGENGAEB,nan,persistent
HLMLLCKC_02010,Geobacillus_thermodenitrificans_OS27,KGENGAEB_03304,KGENGAEB,nan,persistent
MEBKDNAM_00066,Geobacillus_thermodenitrificans_NG80-2,KGENGAEB_03304,KGENGAEB,nan,persistent
NCBEONCI_01682,Geobacillus_thermodenitrificans_JSC_T9a,KGENGAEB_03304,KGENGAEB,nan,persistent
FLBMOKII_00069,Geobacillus_thermodenitrificans_T12,KGENGAEB_03304,KGENGAEB,nan,persistent
KGENGAEB_03340,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,KGENGAEB_03340,KGENGAEB,P76086,persistent
IJIGFOAD_03385,Geobacillus_thermodenitrificans_KCTC3902,KGENGAEB_03340,KGENGAEB,P76086,persistent
AHOIKHHK_03409,Geobacillus_thermodenitrificans_K1041,KGENGAEB_03340,KGENGAEB,P76086,persistent
FDKLAMFJ_03680,Geobacillus_thermodenitrificans_ID-1,KGENGAEB_03340,KGENGAEB,P76086,persistent
HLMLLCKC_03458,Geobacillus_thermodenitrificans_OS27,KGENGAEB_03340,KGENGAEB,P76086,persistent
MEBKDNAM_01995,Geobacillus_thermodenitrificans_NG80-2,KGENGAEB_03340,KGENGAEB,P76086,persistent
NCBEONCI_02590,Geobacillus_thermodenitrificans_JSC_T9a,KGENGAEB_03340,KGENGAEB,P76086,persistent
FLBMOKII_02128,Geobacillus_thermodenitrificans_T12,KGENGAEB_03340,KGENGAEB,P76086,persistent
KGENGAEB_01903,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00032,IJIGFOAD,nan,persistent
IJIGFOAD_00032,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00032,IJIGFOAD,nan,persistent
IJIGFOAD_03542,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00032,IJIGFOAD,nan,persistent
AHOIKHHK_02331,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00032,IJIGFOAD,nan,persistent
FDKLAMFJ_00146,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00032,IJIGFOAD,nan,persistent
HLMLLCKC_00737,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00032,IJIGFOAD,nan,persistent
MEBKDNAM_01842,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00032,IJIGFOAD,nan,persistent
NCBEONCI_02419,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00032,IJIGFOAD,nan,persistent
