gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGPs	Spots
IJIGFOAD_00001	NZ_CP017694.1	26	385	+	NCBEONCI_02448	3	persistent	0	0	0	None	5,22
IJIGFOAD_00002	NZ_CP017694.1	382	2043	+	NCBEONCI_02448	3	persistent	0	0	0	None	5,22
IJIGFOAD_00003	NZ_CP017694.1	2060	2410	+	MEBKDNAM_01871	3	persistent	0	0	0	None	5,22
IJIGFOAD_00004	NZ_CP017694.1	2684	2932	+	MEBKDNAM_01871	3	persistent	0	0	0	None	5,22
IJIGFOAD_00005	NZ_CP017694.1	3615	4568	+	IJIGFOAD_00005	3	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00006	NZ_CP017694.1	4586	5236	+	MEBKDNAM_01869	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00007	NZ_CP017694.1	5430	6053	+	MEBKDNAM_01868	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00008	NZ_CP017694.1	6095	7498	+	IJIGFOAD_03513	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	62,5,47,22
IJIGFOAD_00009	NZ_CP017694.1	7519	8556	+	IJIGFOAD_03514	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00010	NZ_CP017694.1	8609	9454	+	AHOIKHHK_01445	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00011	NZ_CP017694.1	9534	10175	+	MEBKDNAM_01864	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00012	NZ_CP017694.1	10379	11602	-	NCBEONCI_02439	3	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,22
IJIGFOAD_00013	NZ_CP017694.1	12119	12913	+	NCBEONCI_02438	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,22
IJIGFOAD_00014	NZ_CP017694.1	12936	13598	+	FLBMOKII_01961	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00015	NZ_CP017694.1	14045	15652	+	IJIGFOAD_03522	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00016	NZ_CP017694.1	15751	17088	+	KGENGAEB_01887	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00017	NZ_CP017694.1	17103	18602	+	KGENGAEB_01888	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00018	NZ_CP017694.1	18857	19891	+	KGENGAEB_01889	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00019	NZ_CP017694.1	19995	21182	+	KGENGAEB_01890	3	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00020	NZ_CP017694.1	21358	21759	+	KGENGAEB_01891	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00021	NZ_CP017694.1	21989	22123	-	FLBMOKII_01952	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00022	NZ_CP017694.1	22083	22298	-	FDKLAMFJ_00136	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00023	NZ_CP017694.1	22485	22784	+	AHOIKHHK_02340	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47,22
IJIGFOAD_00024	NZ_CP017694.1	23060	23371	+	FDKLAMFJ_00138	2	persistent	0	0	0	NZ_CP017694.1_RGP_6	5,47
IJIGFOAD_00025	NZ_CP017694.1	23373	23705	+	FDKLAMFJ_00139	1	persistent	0	0	0	None	None
IJIGFOAD_00026	NZ_CP017694.1	23722	25041	+	FDKLAMFJ_00140	3	persistent	0	0	0	None	None
IJIGFOAD_00027	NZ_CP017694.1	25068	26480	+	FDKLAMFJ_00141	2	persistent	0	0	0	None	None
IJIGFOAD_00028	NZ_CP017694.1	26637	27353	+	AHOIKHHK_02335	2	persistent	0	0	0	NZ_CP017694.1_RGP_20	2
IJIGFOAD_00029	NZ_CP017694.1	27426	28556	-	AHOIKHHK_02334	2	persistent	0	0	0	NZ_CP017694.1_RGP_20	2
IJIGFOAD_00030	NZ_CP017694.1	28720	29295	+	AHOIKHHK_02333	2	persistent	0	0	0	NZ_CP017694.1_RGP_20	2
IJIGFOAD_00031	NZ_CP017694.1	29356	30210	+	AHOIKHHK_02332	2	persistent	0	0	0	NZ_CP017694.1_RGP_20	2
IJIGFOAD_00032	NZ_CP017694.1	30472	31398	+	IJIGFOAD_00032	2	persistent	0	0	0	NZ_CP017694.1_RGP_20	2
IJIGFOAD_00033	NZ_CP017694.1	31588	32547	-	AHOIKHHK_02330	2	persistent	0	0	0	None	2
IJIGFOAD_00034	NZ_CP017694.1	32774	32995	+	IJIGFOAD_00034	1	persistent	0	0	0	None	None
IJIGFOAD_00035	NZ_CP017694.1	32998	34992	+	IJIGFOAD_00035	1	persistent	0	0	0	None	None
IJIGFOAD_00036	NZ_CP017694.1	34989	35153	+	IJIGFOAD_00036	1	persistent	0	0	0	None	None
IJIGFOAD_00037	NZ_CP017694.1	35667	36263	+	IJIGFOAD_00037	1	persistent	0	0	0	None	None
IJIGFOAD_00038	NZ_CP017694.1	36287	36379	+	MEBKDNAM_01836	1	persistent	0	0	0	None	None
IJIGFOAD_00039	NZ_CP017694.1	36448	38274	+	FLBMOKII_01932	1	persistent	0	0	0	None	None
IJIGFOAD_00040	NZ_CP017694.1	38447	38902	+	MEBKDNAM_01834	1	persistent	0	0	0	None	None
IJIGFOAD_00041	NZ_CP017694.1	38924	40792	+	MEBKDNAM_01833	1	persistent	0	0	0	None	None
IJIGFOAD_00042	NZ_CP017694.1	40844	41410	+	MEBKDNAM_01832	1	persistent	0	0	0	None	None
IJIGFOAD_00043	NZ_CP017694.1	41407	42708	+	NCBEONCI_02408	1	persistent	0	0	0	None	None
IJIGFOAD_00044	NZ_CP017694.1	42705	43502	+	NCBEONCI_02407	1	persistent	0	0	0	None	None
IJIGFOAD_00045	NZ_CP017694.1	43499	44167	+	NCBEONCI_02406	1	persistent	0	0	0	None	None
IJIGFOAD_00046	NZ_CP017694.1	44164	45075	+	FLBMOKII_01925	1	persistent	0	0	0	None	None
IJIGFOAD_00047	NZ_CP017694.1	45263	46015	+	FLBMOKII_01924	1	persistent	0	0	0	None	None
IJIGFOAD_00048	NZ_CP017694.1	46012	46923	+	KGENGAEB_01919	1	persistent	0	0	0	None	None
IJIGFOAD_00049	NZ_CP017694.1	46949	48820	+	KGENGAEB_01920	1	persistent	0	0	0	None	None
IJIGFOAD_00050	NZ_CP017694.1	48891	49868	-	KGENGAEB_01921	1	persistent	0	0	0	None	None
