locus_tag	ftype	length_bp	gene	EC_number	COG	product
FDKLAMFJ_00001	CDS	435	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
FDKLAMFJ_00002	CDS	531				hypothetical protein
FDKLAMFJ_00003	CDS	528				hypothetical protein
FDKLAMFJ_00004	CDS	858	hexR_1		COG1737	HTH-type transcriptional regulator HexR
FDKLAMFJ_00005	CDS	888	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
FDKLAMFJ_00006	CDS	759				PTS system EIIBC component
FDKLAMFJ_00007	CDS	654				PTS system EIIBC component
FDKLAMFJ_00008	CDS	1065				hypothetical protein
FDKLAMFJ_00009	CDS	948	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
FDKLAMFJ_00010	CDS	915			COG1638	putative protein
FDKLAMFJ_00011	CDS	588				hypothetical protein
FDKLAMFJ_00012	CDS	1284	siaM_1		COG1593	Sialic acid TRAP transporter large permease protein SiaM
FDKLAMFJ_00013	CDS	1047			COG1638	Solute-binding protein
FDKLAMFJ_00014	CDS	1254				hypothetical protein
FDKLAMFJ_00015	CDS	2202	ilvD_1	4.2.1.9		Dihydroxy-acid dehydratase
FDKLAMFJ_00016	CDS	777	xynR_1		COG1414	HTH-type transcriptional regulator XynR
FDKLAMFJ_00017	CDS	897				hypothetical protein
FDKLAMFJ_00018	CDS	1467	aldHT_1	1.2.1.5		Aldehyde dehydrogenase, thermostable
FDKLAMFJ_00019	CDS	825	larE_1	4.4.1.37	COG1606	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase
FDKLAMFJ_00020	CDS	810	larB	2.5.1.143	COG1691	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
FDKLAMFJ_00021	CDS	1236	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
FDKLAMFJ_00022	CDS	945	yjhH	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
FDKLAMFJ_00023	CDS	954				hypothetical protein
FDKLAMFJ_00024	CDS	321	garD	4.2.1.42		Galactarate dehydratase (L-threo-forming)
FDKLAMFJ_00025	CDS	1167	suyB	4.4.1.24	COG2721	(2R)-sulfolactate sulfo-lyase subunit beta
FDKLAMFJ_00026	CDS	960	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
FDKLAMFJ_00027	CDS	657	kdgA_1		COG0800	KHG/KDPG aldolase
FDKLAMFJ_00028	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
FDKLAMFJ_00029	CDS	1005	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
FDKLAMFJ_00030	CDS	1716	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
FDKLAMFJ_00031	CDS	1188	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
FDKLAMFJ_00032	CDS	1332				hypothetical protein
FDKLAMFJ_00033	CDS	1461	iolA_1	1.2.1.-	COG1012	Malonate-semialdehyde dehydrogenase
FDKLAMFJ_00034	CDS	159				hypothetical protein
FDKLAMFJ_00035	CDS	1452	mtlA			PTS system mannitol-specific EIICB component
FDKLAMFJ_00036	CDS	2091	mtlR			Transcriptional regulator MtlR
FDKLAMFJ_00037	CDS	444	mtlF		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
FDKLAMFJ_00038	CDS	1164	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
	CRISPR	1025				
FDKLAMFJ_00039	CDS	1005	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
FDKLAMFJ_00040	CDS	1545	xylB_1	2.7.1.17	COG1070	Xylulose kinase
FDKLAMFJ_00041	CDS	1350	gntT		COG2610	High-affinity gluconate transporter
FDKLAMFJ_00042	CDS	1398				hypothetical protein
FDKLAMFJ_00043	CDS	1290	amiC			Aliphatic amidase expression-regulating protein
FDKLAMFJ_00044	CDS	894	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
FDKLAMFJ_00045	CDS	1056				hypothetical protein
FDKLAMFJ_00046	CDS	765	lsrA	3.6.3.-	COG1129	Autoinducer 2 import ATP-binding protein LsrA
FDKLAMFJ_00047	CDS	702	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
FDKLAMFJ_00048	CDS	306	ureA	3.5.1.5		Urease subunit gamma
FDKLAMFJ_00049	CDS	336	ureB	3.5.1.5		Urease subunit beta
FDKLAMFJ_00050	CDS	1710	ureC	3.5.1.5		Urease subunit alpha
FDKLAMFJ_00051	CDS	447	ureE			Urease accessory protein UreE
FDKLAMFJ_00052	CDS	678	ureF		COG0830	Urease accessory protein UreF
FDKLAMFJ_00053	CDS	615	ureG			Urease accessory protein UreG
FDKLAMFJ_00054	CDS	816	ureD1		COG0829	Urease accessory protein UreD
FDKLAMFJ_00055	CDS	633				hypothetical protein
FDKLAMFJ_00056	CDS	480				hypothetical protein
FDKLAMFJ_00057	CDS	1170	tetA_1			Tetracycline resistance protein, class C
FDKLAMFJ_00058	CDS	1380	dsdA	4.3.1.18	COG3048	D-serine dehydratase
FDKLAMFJ_00059	CDS	558	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
FDKLAMFJ_00060	CDS	651	kynB_1	3.5.1.9	COG1878	Kynurenine formamidase
FDKLAMFJ_00061	CDS	1437	gapN_1	1.2.1.9	COG1012	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
FDKLAMFJ_00062	CDS	765	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
FDKLAMFJ_00063	CDS	1134	araR_1		COG1609	Arabinose metabolism transcriptional repressor
FDKLAMFJ_00064	CDS	1359				hypothetical protein
FDKLAMFJ_00065	CDS	936	lacF_1			Lactose transport system permease protein LacF
FDKLAMFJ_00066	CDS	825	sugB_1		COG0395	Trehalose transport system permease protein SugB
FDKLAMFJ_00067	CDS	3135				hypothetical protein
FDKLAMFJ_00068	CDS	1437				hypothetical protein
FDKLAMFJ_00069	CDS	1242	gltP_1		COG1301	Proton/glutamate-aspartate symporter
FDKLAMFJ_00070	CDS	1035	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
