"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","geobacillus_cnambio1","Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465","Geobacillus_thermodenitrificans_KCTC3902","Geobacillus_thermodenitrificans_K1041","Geobacillus_thermodenitrificans_ID-1","Geobacillus_thermodenitrificans_OS27","Geobacillus_thermodenitrificans_NG80-2","Geobacillus_thermodenitrificans_JSC_T9a","Geobacillus_thermodenitrificans_T12"
"KGENGAEB_03268","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","986","986","986.0","","KGENGAEB_03268","IJIGFOAD_01814","AHOIKHHK_02942","FDKLAMFJ_02056","HLMLLCKC_02454","MEBKDNAM_00011","NCBEONCI_01857","FLBMOKII_00012"
"KGENGAEB_03304","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","740","740","740.0","","KGENGAEB_03304","IJIGFOAD_01760","AHOIKHHK_01866","FDKLAMFJ_02002","HLMLLCKC_02010","MEBKDNAM_00066","NCBEONCI_01682","FLBMOKII_00069"
"KGENGAEB_03340","persistent","Transcriptional repressor PaaX","8","8","1.0","NA","NA","","","","875","875","875.0","","KGENGAEB_03340","IJIGFOAD_03385","AHOIKHHK_03409","FDKLAMFJ_03680","HLMLLCKC_03458","MEBKDNAM_01995","NCBEONCI_02590","FLBMOKII_02128"
"IJIGFOAD_00032","persistent","hypothetical protein","8","9","1.12","NA","NA","","","","899","926","923.0","","KGENGAEB_01903","IJIGFOAD_00032" "IJIGFOAD_03542","AHOIKHHK_02331","FDKLAMFJ_00146","HLMLLCKC_00737","MEBKDNAM_01842","NCBEONCI_02419","FLBMOKII_01941"
"IJIGFOAD_00097","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","443","443","443.0","","KGENGAEB_01968","IJIGFOAD_00097","AHOIKHHK_02223","FDKLAMFJ_00226","HLMLLCKC_03151","MEBKDNAM_01765","NCBEONCI_02338","FLBMOKII_01858"
"IJIGFOAD_00136","persistent","HTH-type transcriptional repressor NsrR","8","8","1.0","NA","NA","","","","446","452","449.0","","KGENGAEB_02007","IJIGFOAD_00136","AHOIKHHK_01400","FDKLAMFJ_00265","HLMLLCKC_03195","MEBKDNAM_01726","NCBEONCI_02299","FLBMOKII_01817"
"IJIGFOAD_00168","persistent","Tunicamycin resistance protein","8","8","1.0","NA","NA","","","","587","590","587.38","","KGENGAEB_00920","IJIGFOAD_00168","AHOIKHHK_01770","FDKLAMFJ_00288","HLMLLCKC_00852","MEBKDNAM_01671","NCBEONCI_02238","FLBMOKII_01791"
"IJIGFOAD_00200","persistent","Chromosome partition protein Smc","8","8","1.0","NA","NA","","","","1850","1850","1850.0","","KGENGAEB_00952","IJIGFOAD_00200","AHOIKHHK_03393","FDKLAMFJ_00323","HLMLLCKC_00885","MEBKDNAM_01635","NCBEONCI_02204","FLBMOKII_01750"
"IJIGFOAD_00232","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1076","1448","1368.5","","KGENGAEB_00984","IJIGFOAD_00232","AHOIKHHK_01663","FDKLAMFJ_00355","HLMLLCKC_00917","MEBKDNAM_01603","NCBEONCI_02172","FLBMOKII_01718"
"IJIGFOAD_00267","persistent","2-dehydro-3-deoxy-6-phosphogalactonate aldolase","8","8","1.0","NA","NA","","","","662","662","662.0","","KGENGAEB_01018","IJIGFOAD_00267","AHOIKHHK_01630","FDKLAMFJ_00388","HLMLLCKC_00951","MEBKDNAM_01569","NCBEONCI_02138","FLBMOKII_01684"
